Knowledge Bases,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Supplementary Table 1. Resources for clinical interpretation of cancer variants,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Transparency and openness features,,,,,,,,,,,Technical features,,,,,,
Resource name (listed in alphabetical order),Primary institute,Curation model,View content without logging in,Public API,Bulk download of database,Site URL,API documentation URL,Updates schedule,Last Updated in DB,Updated in tool,Script,Citation (PubMed ID),Open source code (license),Open access content (license),Human readable interpretation/ summary,Cancer focused,Clinically focused,Variant origin emphasis,
Cancer Driver Log (CanDL),Ohio State University (OSU)/James Cancer Hospital,Domain experts,Yes,No,Yes,https://candl.osu.edu/,None available,Not frequently,10/10/17,yes,,26320871,No,No,No,Yes,Yes,Somatic,
Clinical Interpretation of Variants in Cancer (CIViC),Washington University School of Medicine (WashU),Crowd sourced + domain experts,Yes,Yes,no,www.civicdb.org,https://genome.github.io/civic-api-docs/,nightly,10/17/17,schema changed for genes table and needs to updated in tool,r code in civic folder,10.1101/072892,Yes (MIT),Yes (CC0),Yes,Yes,Yes,All variants,
Database of Curated Mutations (DoCM),Washington University School of Medicine (WashU),Domain experts*,Yes,Yes,Yes,www.docm.info,http://docm.genome.wustl.edu/api,Monthly,10/10/17,yes,,27684579,Yes (MIT),Yes (CC BY 4.0),No,Yes,No,Somatic,
JAX Clinical Knowledgebase,The Jackson Laboratory,Domain experts,Yes,yes,No,https://ckb.jax.org/,https://ckb.jax.org/ckb-api/,daily,"in progress, should be done by Friday 10/19",,,26772741,No,No,Yes,Yes,Yes,Somatic,
My Cancer Genome,Vanderbilt University,Domain experts,Yes,No,No,https://www.mycancergenome.org/,None available,not sure,,,,23344264,No,No,Yes,Yes,Yes,Somatic,
OncoKB,Memorial Sloan Kettering Cancer Center,Domain experts,Yes,No,No,http://oncokb.org/#/,None available,frequently,10/17/17. ,"tool is updated,  but will updated with more tables from oncokb",,N/A,No,No,No,Yes,Yes,Somatic,
Personalized Cancer Therapy Database,MD Anderson Cancer Center‎,Domain experts,No,No,No,https://pct.mdanderson.org/#/home,None available,not sure,"in progress, should be done by Friday 10/19",,,N/A,No,No,Yes,Yes,Yes,Somatic,
Precision Medicine Knowledgebase (PMKB),Weill Cornell Medical College,Domain experts**,Yes,No,Yes,https://pmkb.weill.cornell.edu/,None available,frequently,in progress,,,27789569,No,Yes (CC BY 4.0),Yes,Yes,Yes,Somatic,
iCMDB, iCMDB knowledge base ,,No,No,,http://www.vishuo.com/en/icmdb/knowledgebase/,,,not updated anymore,,,,,,,,,,
PMI(Clarivate,Thomson Reuters,,,,,https://clarivate.com/product-category/life-sciences/,,,not updated anymore,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
An online version of this table can be found here:,,,,,,,,,,,,,,,,,,,
https://goo.gl/5WAZmd ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Note to the reader. We have tried to make this table as accurate and complete as possible.  If you are aware of serious errors or omissions, please contact us and we will update it.",,,,,,,,,,,,,,,,,,,
* an interface is now provided for bulk submissions by external users,,,,,,,,,,,,,,,,,,,
"** crowd contributions are described as ""coming soon"" at the time of this survey (July 2016)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
API = Application Programming Interface,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
