,drugName,id,DrugClass_id,terms,,,,,,
0,KW-2449,7609,1,['KW-2449'],,,,,,
1,Debio 0617B,8555,1,['Debio 0617B'],,,,,,
2,Dasatinib,1241,1,['Dasatinib', 'Sprycel', 'BMS-354825'],,,,
3,Nilotinib,4655,1,['Nilotinib', 'Tasigna', 'AMN-107'],,,,
4,Bosutinib,4738,1,['Bosutinib', 'Bosulif', 'SKI-606'],,,,
5,PP-121,7476,1,['PP-121'],,,,,,
6,RXDX-105,7121,1,['RXDX-105', 'AC013773', 'CEP-32496'],,,,
7,Imatinib mesylate,609,1,['Imatinib mesylate', 'Gleevec', 'CGP-57148B', 'STI571'],,,
0,AT9283,6852,2,['AT9283'],,,,,,
1,RXDX-105,7121,2,['RXDX-105', 'AC013773', 'CEP-32496'],,,,
2,Vandetanib,4691,2,['Vandetanib', 'Caprelsa', 'ZD6474'],,,,
3,Danusertib,6895,2,['Danusertib', 'PHA-739358'],,,,,
0,M2698,7156,4,['M2698', 'MSC2363318A'],,,,,
1,LYS6KAKT1,7418,4,['LYS6KAKT1'],,,,,,
2,PHT-427,7955,4,['PHT-427'],,,,,,
3,LY2780301,6940,4,['LY2780301'],,,,,,
4,KP372-1,8681,4,['KP372-1'],,,,,,
5,Afuresertib,6831,4,['Afuresertib', 'GSK2110183'],,,,,
6,ONC201,7318,4,['ONC201', 'TIC-10', 'TIC10'],,,,
7,MK2206,6953,4,['MK2206', 'MK-2206'],,,,,
8,Uprosertib,6920,4,['Uprosertib', 'GSK2141795'],,,,,
9,ARQ 751,8420,4,['ARQ 751'],,,,,,
10,AT-7867,7530,4,['AT-7867', 'AT7687'],,,,,
11,AZD5363,6858,4,['AZD5363'],,,,,,
12,Ipatasertib,6909,4,['Ipatasertib', 'GDC-0068'],,,,,
13,Triciribine,7037,4,['Triciribine', 'API-2', 'VQD-002'],,,,
14,ARQ092,6841,4,['ARQ092', 'ARQ-092'],,,,,
15,A-443654,7531,4,['A-443654'],,,,,,
16,Perifosine,6981,4,['Perifosine', 'KRX-0401'],,,,,
0,GSK690693,7925,5,['GSK690693'],,,,,,
1,Uprosertib,6920,5,['Uprosertib', 'GSK2141795'],,,,,
2,Afuresertib,6831,5,['Afuresertib', 'GSK2110183'],,,,,
3,CCT129254,8190,5,['CCT129254', 'AT11854'],,,,,
4,AT13148,8189,5,['AT13148'],,,,,,
5,LYS6KAKT1,7418,5,['LYS6KAKT1'],,,,,,
6,AT-7867,7530,5,['AT-7867', 'AT7687'],,,,,
0,RX-0201,7014,6,['RX-0201', 'Archexin'],,,,,
1,A-674563,8689,6,['A-674563'],,,,,,
2,NSC156529,8342,6,['NSC156529'],,,,,,
3,BAY1125976,7111,6,['BAY1125976'],,,,,,
