1,"['http://www.ncbi.nlm.nih.gov/pubmed/23604229', 'http://www.ncbi.nlm.nih.gov/pubmed/23656643', 'http://www.ncbi.nlm.nih.gov/pubmed/19620628']"
2,"['http://www.ncbi.nlm.nih.gov/pubmed/16834459', 'http://www.ncbi.nlm.nih.gov/pubmed/14764528', 'http://www.ncbi.nlm.nih.gov/pubmed/16868251', 'http://www.ncbi.nlm.nih.gov/pubmed/19194467']"
3,"['http://www.ncbi.nlm.nih.gov/pubmed/18362173', 'http://www.ncbi.nlm.nih.gov/pubmed/20417861', 'http://www.ncbi.nlm.nih.gov/pubmed/19764985', 'http://www.ncbi.nlm.nih.gov/pubmed/22237106', 'http://www.ncbi.nlm.nih.gov/pubmed/21880637', 'http://www.ncbi.nlm.nih.gov/pubmed/21393331', 'http://www.ncbi.nlm.nih.gov/pubmed/20167706', 'http://www.ncbi.nlm.nih.gov/pubmed/19470474', 'http://www.ncbi.nlm.nih.gov/pubmed/18160671']"
4,"['http://www.ncbi.nlm.nih.gov/pubmed/24178622', 'http://www.ncbi.nlm.nih.gov/pubmed/23708912', 'http://www.ncbi.nlm.nih.gov/pubmed/21714648', 'http://www.ncbi.nlm.nih.gov/pubmed/17550846', 'http://www.ncbi.nlm.nih.gov/pubmed/20520634', 'http://www.ncbi.nlm.nih.gov/pubmed/20371679', 'http://www.ncbi.nlm.nih.gov/pubmed/19075190', 'http://www.ncbi.nlm.nih.gov/pubmed/23512829', 'http://www.ncbi.nlm.nih.gov/pubmed/21680795']"
5,"['http://www.ncbi.nlm.nih.gov/pubmed/19445024', 'http://www.ncbi.nlm.nih.gov/pubmed/22891276']"
6,['http://www.ncbi.nlm.nih.gov/pubmed/23765226']
7,"['http://www.ncbi.nlm.nih.gov/pubmed/23645565', 'http://www.ncbi.nlm.nih.gov/pubmed/21067377', 'http://www.ncbi.nlm.nih.gov/pubmed/21399634', 'http://www.ncbi.nlm.nih.gov/pubmed/21415852', 'http://www.ncbi.nlm.nih.gov/pubmed/21537334', 'http://www.ncbi.nlm.nih.gov/pubmed/21670448', 'http://www.ncbi.nlm.nih.gov/pubmed/23603912', 'http://www.ncbi.nlm.nih.gov/pubmed/21828135']"
8,"['http://www.ncbi.nlm.nih.gov/pubmed/22720145', 'http://www.ncbi.nlm.nih.gov/pubmed/23613520', 'http://www.ncbi.nlm.nih.gov/pubmed/24220272']"
9,"['http://www.ncbi.nlm.nih.gov/pubmed/24113472', 'http://www.ncbi.nlm.nih.gov/pubmed/23034282', 'http://www.ncbi.nlm.nih.gov/pubmed/21642962']"
10,"['http://www.ncbi.nlm.nih.gov/pubmed/24366360', 'http://www.ncbi.nlm.nih.gov/pubmed/18436740', 'http://www.ncbi.nlm.nih.gov/pubmed/26490317', 'http://www.ncbi.nlm.nih.gov/pubmed/24553177', 'http://www.ncbi.nlm.nih.gov/pubmed/25853747']"
11,"['http://www.ncbi.nlm.nih.gov/pubmed/24113472', 'http://www.ncbi.nlm.nih.gov/pubmed/21909114', 'http://www.ncbi.nlm.nih.gov/pubmed/22343920', 'http://www.ncbi.nlm.nih.gov/pubmed/22150006', 'http://www.ncbi.nlm.nih.gov/pubmed/22064353', 'http://www.ncbi.nlm.nih.gov/pubmed/21995386', 'http://www.ncbi.nlm.nih.gov/pubmed/24652989', 'http://www.ncbi.nlm.nih.gov/pubmed/24943832', 'http://www.ncbi.nlm.nih.gov/pubmed/21886174', 'http://www.ncbi.nlm.nih.gov/pubmed/22064355']"
12,"['http://www.ncbi.nlm.nih.gov/pubmed/23954893', 'http://www.ncbi.nlm.nih.gov/pubmed/19657110', 'http://www.ncbi.nlm.nih.gov/pubmed/20107228', 'http://www.ncbi.nlm.nih.gov/pubmed/20410924', 'http://www.ncbi.nlm.nih.gov/pubmed/20368538', 'http://www.ncbi.nlm.nih.gov/pubmed/20368543', 'http://www.ncbi.nlm.nih.gov/pubmed/20376084', 'http://www.ncbi.nlm.nih.gov/pubmed/20376086', 'http://www.ncbi.nlm.nih.gov/pubmed/20494930', 'http://www.ncbi.nlm.nih.gov/pubmed/20508616', 'http://www.ncbi.nlm.nih.gov/pubmed/20567020', 'http://www.ncbi.nlm.nih.gov/pubmed/23690417', 'http://www.ncbi.nlm.nih.gov/pubmed/24699305', 'http://www.ncbi.nlm.nih.gov/pubmed/23999441']"
13,['http://www.ncbi.nlm.nih.gov/pubmed/23334668']
14,"['http://www.ncbi.nlm.nih.gov/pubmed/21179087', 'http://www.ncbi.nlm.nih.gov/pubmed/22931316', 'http://www.ncbi.nlm.nih.gov/pubmed/21642962', 'http://www.ncbi.nlm.nih.gov/pubmed/23560587', 'http://www.ncbi.nlm.nih.gov/pubmed/24224040', 'http://www.ncbi.nlm.nih.gov/pubmed/23215570', 'http://www.ncbi.nlm.nih.gov/pubmed/22150006', 'http://www.ncbi.nlm.nih.gov/pubmed/21519346', 'http://www.ncbi.nlm.nih.gov/pubmed/21991928', 'http://www.ncbi.nlm.nih.gov/pubmed/2199192', 'http://www.ncbi.nlm.nih.gov/pubmed/24444466', 'http://www.ncbi.nlm.nih.gov/pubmed/24782504', 'http://www.ncbi.nlm.nih.gov/pubmed/25853747']"
15,"['http://www.ncbi.nlm.nih.gov/pubmed/23490077', 'http://www.ncbi.nlm.nih.gov/pubmed/24429522', 'http://www.ncbi.nlm.nih.gov/pubmed/23867056', 'http://www.ncbi.nlm.nih.gov/pubmed/20210255', 'http://www.ncbi.nlm.nih.gov/pubmed/18757411', 'http://www.ncbi.nlm.nih.gov/pubmed/12824925']"
16,"['http://www.ncbi.nlm.nih.gov/pubmed/24509477', 'http://www.ncbi.nlm.nih.gov/pubmed/24662245', 'http://www.ncbi.nlm.nih.gov/pubmed/22237106']"
17,"['http://www.ncbi.nlm.nih.gov/pubmed/22072526', 'http://www.ncbi.nlm.nih.gov/pubmed/21346257']"
18,"['http://www.ncbi.nlm.nih.gov/pubmed/24371770', 'http://www.ncbi.nlm.nih.gov/pubmed/24467820', 'http://www.ncbi.nlm.nih.gov/pubmed/24077845', 'http://www.ncbi.nlm.nih.gov/pubmed/24033149', 'http://www.ncbi.nlm.nih.gov/pubmed/22814295', 'http://www.ncbi.nlm.nih.gov/pubmed/22649106']"
19,"['http://www.ncbi.nlm.nih.gov/pubmed/17657213', 'http://www.ncbi.nlm.nih.gov/pubmed/19330652', 'http://www.ncbi.nlm.nih.gov/pubmed/16573740', 'http://www.ncbi.nlm.nih.gov/pubmed/22675565', 'http://www.ncbi.nlm.nih.gov/pubmed/24440717', 'http://www.ncbi.nlm.nih.gov/pubmed/16764926']"
20,"['http://www.ncbi.nlm.nih.gov/pubmed/24076604', 'http://www.ncbi.nlm.nih.gov/pubmed/23823660']"
21,"['http://www.ncbi.nlm.nih.gov/pubmed/23752188', 'http://www.ncbi.nlm.nih.gov/pubmed/24057647', 'http://www.ncbi.nlm.nih.gov/pubmed/21224473', 'http://www.ncbi.nlm.nih.gov/pubmed/12660384', 'http://www.ncbi.nlm.nih.gov/pubmed/16645167', 'http://www.ncbi.nlm.nih.gov/pubmed/22301675']"
22,"['http://www.ncbi.nlm.nih.gov/pubmed/24487413', 'http://www.ncbi.nlm.nih.gov/pubmed/24281161', 'http://www.ncbi.nlm.nih.gov/pubmed/24443360', 'http://www.ncbi.nlm.nih.gov/pubmed/24359244', 'http://www.ncbi.nlm.nih.gov/pubmed/7691885', 'http://www.ncbi.nlm.nih.gov/pubmed/7512180', 'http://www.ncbi.nlm.nih.gov/pubmed/7479840', 'http://www.ncbi.nlm.nih.gov/pubmed/9714703', 'http://www.ncbi.nlm.nih.gov/pubmed/11074560', 'http://www.ncbi.nlm.nih.gov/pubmed/12481435', 'http://www.ncbi.nlm.nih.gov/pubmed/12569358', 'http://www.ncbi.nlm.nih.gov/pubmed/12701114', 'http://www.ncbi.nlm.nih.gov/pubmed/15070706', 'http://www.ncbi.nlm.nih.gov/pubmed/16183119', 'http://www.ncbi.nlm.nih.gov/pubmed/16741248', 'http://www.ncbi.nlm.nih.gov/pubmed/17065430', 'http://www.ncbi.nlm.nih.gov/pubmed/24226631', 'http://www.ncbi.nlm.nih.gov/pubmed/24164801', 'http://www.ncbi.nlm.nih.gov/pubmed/23053179']"
23,"['http://www.ncbi.nlm.nih.gov/pubmed/19262599', 'http://www.ncbi.nlm.nih.gov/pubmed/19295549', 'http://www.ncbi.nlm.nih.gov/pubmed/19797729', 'http://www.ncbi.nlm.nih.gov/pubmed/19474426']"
24,"['http://www.ncbi.nlm.nih.gov/pubmed/24166518', 'http://www.ncbi.nlm.nih.gov/pubmed/18485478', 'http://www.ncbi.nlm.nih.gov/pubmed/17646409', 'http://www.ncbi.nlm.nih.gov/pubmed/19109228', 'http://www.ncbi.nlm.nih.gov/pubmed/19794083', 'http://www.ncbi.nlm.nih.gov/pubmed/24113472', 'http://www.ncbi.nlm.nih.gov/pubmed/22150006']"
25,"['http://www.ncbi.nlm.nih.gov/pubmed/23765228', 'http://www.ncbi.nlm.nih.gov/pubmed/24145436']"
26,"['http://www.ncbi.nlm.nih.gov/pubmed/21536738', 'http://www.ncbi.nlm.nih.gov/pubmed/24787007', 'http://www.ncbi.nlm.nih.gov/pubmed/21892159', 'http://www.ncbi.nlm.nih.gov/pubmed/23069254']"
27,"['http://www.ncbi.nlm.nih.gov/pubmed/2142747', 'http://www.ncbi.nlm.nih.gov/pubmed/2406720', 'http://www.ncbi.nlm.nih.gov/pubmed/8321048', 'http://www.ncbi.nlm.nih.gov/pubmed/1385636', 'http://www.ncbi.nlm.nih.gov/pubmed/17360941', 'http://www.ncbi.nlm.nih.gov/pubmed/24186003', 'http://www.ncbi.nlm.nih.gov/pubmed/22197934']"
28,"['http://www.ncbi.nlm.nih.gov/pubmed/15659725', 'http://www.ncbi.nlm.nih.gov/pubmed/15994285', 'http://www.ncbi.nlm.nih.gov/pubmed/24487413', 'http://www.ncbi.nlm.nih.gov/pubmed/22417203']"
29,"['http://www.ncbi.nlm.nih.gov/pubmed/21802138', 'http://www.ncbi.nlm.nih.gov/pubmed/21628411']"
30,"['http://www.ncbi.nlm.nih.gov/pubmed/19129520', 'http://www.ncbi.nlm.nih.gov/pubmed/24366361', 'http://www.ncbi.nlm.nih.gov/pubmed/24597983', 'http://www.ncbi.nlm.nih.gov/pubmed/24497567', 'http://www.ncbi.nlm.nih.gov/pubmed/24323986', 'http://www.ncbi.nlm.nih.gov/pubmed/24323991']"
31,"['http://www.ncbi.nlm.nih.gov/pubmed/23212519', 'http://www.ncbi.nlm.nih.gov/pubmed/24316979', 'http://www.ncbi.nlm.nih.gov/pubmed/21674579']"
32,"['http://www.ncbi.nlm.nih.gov/pubmed/24220272', 'http://www.ncbi.nlm.nih.gov/pubmed/23708642', 'http://www.ncbi.nlm.nih.gov/pubmed/22323480']"
33,"['http://www.ncbi.nlm.nih.gov/pubmed/24495477', 'http://www.ncbi.nlm.nih.gov/pubmed/23009221', 'http://www.ncbi.nlm.nih.gov/pubmed/22230299', 'http://www.ncbi.nlm.nih.gov/pubmed/23088640', 'http://www.ncbi.nlm.nih.gov/pubmed/22639828', 'http://www.ncbi.nlm.nih.gov/pubmed/24428489']"
34,"['http://www.ncbi.nlm.nih.gov/pubmed/24097338', 'http://www.ncbi.nlm.nih.gov/pubmed/23486531', 'http://www.ncbi.nlm.nih.gov/pubmed/24549259', 'http://www.ncbi.nlm.nih.gov/pubmed/24507812', 'http://www.ncbi.nlm.nih.gov/pubmed/23099237', 'http://www.ncbi.nlm.nih.gov/pubmed/22237151']"
35,"['http://www.ncbi.nlm.nih.gov/pubmed/24335498', 'http://www.ncbi.nlm.nih.gov/pubmed/23955599']"
36,"['http://www.ncbi.nlm.nih.gov/pubmed/23670175', 'http://www.ncbi.nlm.nih.gov/pubmed/22869151', 'http://www.ncbi.nlm.nih.gov/pubmed/21674578', 'http://www.ncbi.nlm.nih.gov/pubmed/18927438', 'http://www.ncbi.nlm.nih.gov/pubmed/20018760']"
37,"['http://www.ncbi.nlm.nih.gov/pubmed/24013638', 'http://www.ncbi.nlm.nih.gov/pubmed/24939936']"
38,"['http://www.ncbi.nlm.nih.gov/pubmed/24382642', 'http://www.ncbi.nlm.nih.gov/pubmed/24131888']"
39,"['http://www.ncbi.nlm.nih.gov/pubmed/15472075', 'http://www.ncbi.nlm.nih.gov/pubmed/24652989', 'http://www.ncbi.nlm.nih.gov/pubmed/23860447', 'http://www.ncbi.nlm.nih.gov/pubmed/21642962', 'http://www.ncbi.nlm.nih.gov/pubmed/24652989', 'http://www.ncbi.nlm.nih.gov/pubmed/24943832']"
40,['http://www.ncbi.nlm.nih.gov/pubmed/22237106']
41,"['http://www.ncbi.nlm.nih.gov/pubmed/24166518', 'http://www.ncbi.nlm.nih.gov/pubmed/22491738']"
42,"['http://www.ncbi.nlm.nih.gov/pubmed/23377281', 'http://www.ncbi.nlm.nih.gov/pubmed/23377183']"
43,"['http://www.ncbi.nlm.nih.gov/pubmed/24335498', 'http://www.ncbi.nlm.nih.gov/pubmed/23955599']"
44,"['http://www.ncbi.nlm.nih.gov/pubmed/18559874', 'http://www.ncbi.nlm.nih.gov/pubmed/23929217', 'http://www.ncbi.nlm.nih.gov/pubmed/19221039', 'http://www.ncbi.nlm.nih.gov/pubmed/23697841']"
45,['http://www.ncbi.nlm.nih.gov/pubmed/21909114']
46,"['http://www.ncbi.nlm.nih.gov/pubmed/22237106', 'http://www.ncbi.nlm.nih.gov/pubmed/22733077']"
47,"['http://www.ncbi.nlm.nih.gov/pubmed/24584352', 'http://www.ncbi.nlm.nih.gov/pubmed/23906020', 'http://www.ncbi.nlm.nih.gov/pubmed/23407552', 'http://www.ncbi.nlm.nih.gov/pubmed/9288106']"
48,"['http://www.ncbi.nlm.nih.gov/pubmed/23010802', 'http://www.ncbi.nlm.nih.gov/pubmed/22929312', 'http://www.ncbi.nlm.nih.gov/pubmed/22799433', 'http://www.ncbi.nlm.nih.gov/pubmed/22733026', 'http://www.ncbi.nlm.nih.gov/pubmed/20955399', 'http://www.ncbi.nlm.nih.gov/pubmed/19901108']"
49,"['http://www.ncbi.nlm.nih.gov/pubmed/22578774', 'http://www.ncbi.nlm.nih.gov/pubmed/22162831', 'http://www.ncbi.nlm.nih.gov/pubmed/23704090']"
50,"['http://www.ncbi.nlm.nih.gov/pubmed/24166518', 'http://www.ncbi.nlm.nih.gov/pubmed/24105326', 'http://www.ncbi.nlm.nih.gov/pubmed/23690417', 'http://www.ncbi.nlm.nih.gov/pubmed/19075190', 'http://www.ncbi.nlm.nih.gov/pubmed/16404744', 'http://www.ncbi.nlm.nih.gov/pubmed/23512829', 'http://www.ncbi.nlm.nih.gov/pubmed/24569456']"
51,['http://www.ncbi.nlm.nih.gov/pubmed/21909114']
52,"['http://www.ncbi.nlm.nih.gov/pubmed/24482502', 'http://www.ncbi.nlm.nih.gov/pubmed/23908464', 'http://www.ncbi.nlm.nih.gov/pubmed/22897847', 'http://www.ncbi.nlm.nih.gov/pubmed/22237106', 'http://www.ncbi.nlm.nih.gov/pubmed/20404132', 'http://www.ncbi.nlm.nih.gov/pubmed/20724988']"
53,"['http://www.ncbi.nlm.nih.gov/pubmed/12717436', 'http://www.ncbi.nlm.nih.gov/pubmed/23825065', 'http://www.ncbi.nlm.nih.gov/pubmed/24067137', 'http://www.ncbi.nlm.nih.gov/pubmed/19776760', 'http://www.ncbi.nlm.nih.gov/pubmed/17330262', 'http://www.ncbi.nlm.nih.gov/pubmed/16115145', 'http://www.ncbi.nlm.nih.gov/pubmed/15951301', 'http://www.ncbi.nlm.nih.gov/pubmed/15749679', 'http://www.ncbi.nlm.nih.gov/pubmed/15725481', 'http://www.ncbi.nlm.nih.gov/pubmed/15009076', 'http://www.ncbi.nlm.nih.gov/pubmed/21680795']"
