Knowledge Bases,,,,,,
,,,,,,
Supplementary Table 1. Resources for clinical interpretation of cancer variants,,,,,,
,,,,,,
,,,,,,
Resource name (listed in alphabetical order),Primary institute,Updates schedule,Last Updated in DB,Updated in tool,Site URL,
Cancer Driver Log (CanDL),Ohio State University (OSU)/James Cancer Hospital,Unsure  if it still updated,10/10/17,yes,https://candl.osu.edu/,
Clinical Interpretation of Variants in Cancer (CIViC),Washington University School of Medicine (WashU),nightly,10/17/17,schema changed for genes table and needs to be updated,www.civicdb.org,
Database of Curated Mutations (DoCM),Washington University School of Medicine (WashU),Monthly?,10/10/17,yes,www.docm.info,
JAX Clinical Knowledgebase,The Jackson Laboratory,daily,10/20/17,yes,https://ckb.jax.org/,
My Cancer Genome,Vanderbilt University,not sure,,,https://www.mycancergenome.org/,
OncoKB,Memorial Sloan Kettering Cancer Center,frequently,10/17/17,yes,http://oncokb.org/#/,
Personalized Cancer Therapy Database,MD Anderson Cancer Center‎,not sure,,,https://pct.mdanderson.org/#/home,
Precision Medicine Knowledgebase (PMKB),Weill Cornell Medical College,frequently,in progress,,https://pmkb.weill.cornell.edu/,
iCMDB, iCMDB knowledge base ,not updated anymore,,,http://www.vishuo.com/en/icmdb/knowledgebase/,
PMI(Clarivate,Thomson Reuters,not updated anymore,,,https://clarivate.com/product-category/life-sciences/,
,,,,,,
An online version of this table can be found here:,,,,,,
https://goo.gl/5WAZmd ,,,,,,
,,,,,,
"Note to the reader. We have tried to make this table as accurate and complete as possible.  If you are aware of serious errors or omissions, please contact us and we will update it.",,,,,,
* an interface is now provided for bulk submissions by external users,,,,,,
"** crowd contributions are described as ""coming soon"" at the time of this survey (July 2016)",,,,,,
,,,,,,
API = Application Programming Interface,,,,,,
,,,,,,
,,,,,,
,,,,,,
