,gender,indications,nctId,phase,recruitment,sponsors,therapies,title,updateDate,variantRequirementDetails,variantRequirements
0,male,"[{'id': 2526, 'name': 'prostate adenocarcinoma', 'source': 'DOID'}]",NCT00002651,Phase III,Completed,Southwest Oncology Group ,"[{'id': 1507, 'therapyName': 'Bicalutamide'}, {'id': 759, 'therapyName': 'Goserelin'}]",Hormone Therapy in Treating Men With Stage IV Prostate Cancer,04/18/2017,[],no
0,male,"[{'id': 2526, 'name': 'prostate adenocarcinoma', 'source': 'DOID'}]",NCT00002651,Phase III,Completed,Southwest Oncology Group ,"[{'id': 1507, 'therapyName': 'Bicalutamide'}, {'id': 759, 'therapyName': 'Goserelin'}]",Hormone Therapy in Treating Men With Stage IV Prostate Cancer,04/18/2017,[],no
0,both,"[{'id': 4450, 'name': 'renal cell carcinoma', 'source': 'DOID'}]",NCT00003553,Phase II,Unknown status,"National Heart, Lung, and Blood Institute (NHLBI)","[{'id': 2291, 'therapyName': 'Cyclophosphamide + Fludarabine'}, {'id': 1650, 'therapyName': 'Cyclosporine'}, {'id': 1845, 'therapyName': 'Mycophenolate mofetil'}, {'id': 1639, 'therapyName': 'Methotrexate'}]",Peripheral Stem Cell Transplant in Treating Patients With Metastatic Kidney Cancer,06/20/2017,[],no
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT00006199,Phase I,Unknown status, National Center for Research Resources (NCRR) ,"[{'id': 938, 'therapyName': 'Tipifarnib'}, {'id': 942, 'therapyName': 'Topotecan'}]","Study of the Farnesyl Transferase Inhibitor, R115777, in Combination With Topotecan (NYU 99-32)",06/20/2017,[],no
0,both,"[{'id': 3369, 'name': 'Ewing sarcoma', 'source': 'DOID'}]",NCT00020566,Phase III,Unknown status,University of Leicester ,"[{'id': 2558, 'therapyName': 'Busulfan + Melphalan'}, {'id': 2670, 'therapyName': 'Vincristine + Doxorubicin + Dactinomycin + Ifosfamide + Etoposide'}]","Combination Chemotherapy With or Without Peripheral Stem Cell Transplantation, Radiation Therapy, and/or Surgery in Treating Patients With Ewing's Sarcoma",06/20/2017,[],no
0,both,"[{'id': 5151, 'name': 'plexiform neurofibroma', 'source': 'DOID'}]",NCT00030264,Phase II,Completed,Children's Hospital of Philadelphia ,"[{'id': 2635, 'therapyName': 'Vinblastine'}, {'id': 1639, 'therapyName': 'Methotrexate'}]",Combination Chemotherapy in Treating Patients With Neurofibromatosis and Progressive Plexiform Neurofibromas,06/03/2016,[],no
0,,[],NCT00040222,,"Active, not recruiting",,[],"Clinical, Genetic, Behavioral, Laboratory and Epidemiologic Characterization of Individuals and Families at High Risk of Breast/Ovarian Cancer",04/12/2016,[],no
0,both,"[{'id': 3068, 'name': 'glioblastoma multiforme', 'source': 'DOID'}]",NCT00054496,Phase II,Unknown status,The Cleveland Clinic ,"[{'id': 4, 'therapyName': 'Erlotinib'}]",Erlotinib in Treating Patients With Recurrent or Progressive Glioblastoma Multiforme,06/20/2017,[],no
0,both,"[{'id': 2531, 'name': 'hematologic cancer', 'source': 'DOID'}, {'id': 2226, 'name': 'myeloproliferative neoplasm', 'source': 'DOID'}]",NCT00074490,Phase II,Completed,National Cancer Institute (NCI),"[{'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 1650, 'therapyName': 'Cyclosporine'}, {'id': 897, 'therapyName': 'Rituximab'}, {'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 1166, 'therapyName': 'Fludarabine'}]",Donor Stem Cell Transplant With No or Low-Intensity Chemotherapy Using Sirolimus and Treated Immune Cells to Treat Blood and Lymph Cancers,08/19/2017,[],no
0,both,"[{'id': 3247, 'name': 'rhabdomyosarcoma', 'source': 'DOID'}, {'id': 4960, 'name': 'bone marrow cancer', 'source': 'DOID'}, {'id': 9952, 'name': 'acute lymphocytic leukemia', 'source': 'DOID'}, {'id': 769, 'name': 'neuroblastoma', 'source': 'DOID'}, {'id': 9119, 'name': 'acute myeloid leukemia', 'source': 'DOID'}, {'id': 8552, 'name': 'chronic myeloid leukemia', 'source': 'DOID'}, {'id': 8584, 'name': 'Burkitt lymphoma', 'source': 'DOID'}, {'id': 3369, 'name': 'Ewing sarcoma', 'source': 'DOID'}, {'id': 50458, 'name': 'juvenile myelomonocytic leukemia', 'source': 'DOID'}, {'id': 60058, 'name': 'lymphoma', 'source': 'DOID'}, {'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT00084695,Phase II,Unknown status,Milton S. Hershey Medical Center ,"[{'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 2558, 'therapyName': 'Busulfan + Melphalan'}, {'id': 1844, 'therapyName': 'anti-thymocyte globulin'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 2188, 'therapyName': 'Prednisone'}]",Umbilical Cord Blood for Stem Cell Transplantation in Treating Young Patients With Malignant or Nonmalignant Diseases,06/20/2017,[],no
0,both,"[{'id': 8632, 'name': ""Kaposi's sarcoma"", 'source': 'DOID'}]",NCT00092222,Phase II,Recruiting,National Cancer Institute (NCI),"[{'id': 917, 'therapyName': 'Sirolimus'}, {'id': 1187, 'therapyName': 'Alpha 2 Interferon'}, {'id': 2211, 'therapyName': 'EPOCH'}, {'id': 897, 'therapyName': 'Rituximab'}, {'id': 688, 'therapyName': 'Bortezomib'}, {'id': 1008, 'therapyName': 'Doxil'}]",Virotherapy and Natural History Study of KHSV-Associated Multricentric Castleman s Disease With Correlates of Disease Activity,03/03/2015,[],no
0,both,"[{'id': 50746, 'name': 'mantle cell lymphoma', 'source': 'DOID'}]",NCT00114738,Phase II,"Active, not recruiting",National Cancer Institute (NCI) ,"[{'id': 3395, 'therapyName': 'R-EPOCH'}, {'id': 897, 'therapyName': 'Rituximab'}, {'id': 688, 'therapyName': 'Bortezomib'}]",EPOCH-R Chemotherapy Plus Bortezomib to Treat Mantle Cell Lymphoma,02/06/2016,[],no
0,both,"[{'id': 8552, 'name': 'chronic myeloid leukemia', 'source': 'DOID'}]",NCT00129740,Phase II,"Active, not recruiting",M.D. Anderson Cancer Center,"[{'id': 829, 'therapyName': 'Nilotinib'}]",Phase II Nilotinib With Newly Diagnosed Chronic Phase Chronic Myelogenous Leukemia (CML),07/24/2015,[],yes
0,both,"[{'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}]",NCT00150657,Phase II,Unknown status,St. John Providence Health System,"[{'id': 1294, 'therapyName': 'Gemcitabine + Bevacizumab + Carboplatin'}]",Study of Carboplatin/Gemcitabine Plus Bevacizumab in Advanced Lung Cancer,06/20/2017,[],no
0,both,"[{'id': 2531, 'name': 'hematologic cancer', 'source': 'DOID'}]",NCT00167180,Phase II,Completed,"Masonic Cancer Center, University of Minnesota ","[{'id': 2291, 'therapyName': 'Cyclophosphamide + Fludarabine'}]",Post Transplant Donor Lymphocyte Infusion,07/12/2017,[],no
0,both,"[{'id': 263, 'name': 'kidney cancer', 'source': 'DOID'}]",NCT00184015,,"Active, not recruiting",University of Southern California,"[{'id': 667, 'therapyName': 'Bevacizumab'}, {'id': 688, 'therapyName': 'Bortezomib'}]","Bortezomib and Bevacizumab (""BB-mib-mab"") in Patients With Advanced or Recurrent Renal Cell Cancer (RCC)",03/17/2015,[],no
0,male,"[{'id': 2526, 'name': 'prostate adenocarcinoma', 'source': 'DOID'}]",NCT00223665,Phase II,Unknown status,University of Washington ,"[{'id': 795, 'therapyName': 'Leuprolide'}, {'id': 742, 'therapyName': 'Flutamide'}]",Intermittent Hormone Therapy in Men With Localized Prostate Cancer After Radiation Therapy or Radical Prostatectomy,06/20/2017,[],no
0,both,"[{'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}]",NCT00254319,Phase II,Unknown status,The Cooper Health System ,"[{'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 2114, 'therapyName': 'Bevacizumab + Pemetrexed'}]",Previously Untreated Advanced Non-Small Cell Lung Cancer (NSCLC),06/20/2017,[],no
0,both,"[{'id': 3234, 'name': 'central nervous system lymphoma', 'source': 'DOID'}]",NCT00267865,Phase II,Recruiting,National Cancer Institute (NCI),"[{'id': 897, 'therapyName': 'Rituximab'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 1642, 'therapyName': 'Leucovorin'}]",Chemotherapy and HAART to Treat AIDS-related Primary Brain Lymphoma,05/06/2015,[],no
0,both,"[{'id': 9253, 'name': 'gastrointestinal stromal tumor', 'source': 'DOID'}]",NCT00290485,Phase II,Unknown status,Maisonneuve-Rosemont Hospital ,"[{'id': 770, 'therapyName': 'Imatinib'}]",Gleevec Administered Preoperatively to Reduce Gastrointestinal Stromal Tumor (GIST),06/20/2017,[],no
0,female,"[{'id': 4362, 'name': 'cervical cancer', 'source': 'DOID'}]",NCT00292955,Phase II,Unknown status,University of Virginia ,"[{'id': 694, 'therapyName': 'Cetuximab'}, {'id': 700, 'therapyName': 'Cisplatin'}]","Cetuximab, Cisplatin, and Radiotherapy in Women With Locally Advanced Cervical Carcinoma",06/20/2017,[],no
0,both,"[{'id': 3234, 'name': 'central nervous system lymphoma', 'source': 'DOID'}]",NCT00293475,Phase Ib/II,Recruiting,OHSU Knight Cancer Institute ,"[{'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 1476, 'therapyName': 'Pegfilgrastim'}, {'id': 1642, 'therapyName': 'Leucovorin'}, {'id': 2669, 'therapyName': 'Carboplatin + Methotrexate + Rituximab'}]",Rituximab and Methotrexate Chemotherapy w/Blood-Brain Barrier Disruption (BBBD) &amp; Sodium Thiosulfate Chemoprotection for Patients With Newly Diagnosed PCNSL,05/13/2015,[],no
0,both,"[{'id': 3069, 'name': 'astrocytoma', 'source': 'DOID'}, {'id': 3068, 'name': 'glioblastoma multiforme', 'source': 'DOID'}]",NCT00301418,Phase Ib/II,Completed,Weill Medical College of Cornell University ,"[{'id': 4, 'therapyName': 'Erlotinib'}]",Oral Tarceva Study for Recurrent/Residual Glioblastoma Multiforme and Anaplastic Astrocytoma,04/24/2015,[],no
0,both,"[{'id': 4450, 'name': 'renal cell carcinoma', 'source': 'DOID'}]",NCT00301990,Phase II,Unknown status,Jonsson Comprehensive Cancer Center ,"[{'id': 2098, 'therapyName': 'Aldesleukin + Bevacizumab'}]",Bevacizumab and Interleukin-2 in Treating Patients With Metastatic Kidney Cancer,06/20/2017,[],no
