,nctId,phase,recruitment,therapies,title,Drug_id
0,NCT01789281,Phase III,Recruiting,"[{'id': 1333, 'therapyName': 'Everolimus + Sandostatin LAR Depot'}]",Everolimus Roll-over Protocol for Patients Who Have Completed a Previous Novartis-sponsored Everolimus Study.,7240
0,NCT02035137,,Recruiting,"[{'id': 1425, 'therapyName': '131I-MIBG'}, {'id': 1426, 'therapyName': '131I-MIBG + Irinotecan + Vincristine'}, {'id': 1427, 'therapyName': '131I-MIBG + Vorinostat'}]",131I-MIBG Alone VS. 131I-MIBG With Vincristine and Irinotecan VS131I-MIBG With Vorinistat,7257
1,NCT01175356,Phase I,Completed,"[{'id': 2558, 'therapyName': 'Busulfan + Melphalan'}, {'id': 2590, 'therapyName': 'Cyclophosphamide + Topotecan'}, {'id': 1425, 'therapyName': '131I-MIBG'}, {'id': 2353, 'therapyName': 'Cyclophosphamide + Doxorubicin + Vincristine '}, {'id': 2585, 'therapyName': 'Cisplatin + Etoposide'}]","Induction Therapy Including 131 I-MIBG and Chemotherapy in Treating Patients With Newly Diagnosed High-Risk Neuroblastoma Undergoing Stem Cell Transplant, Radiation Therapy, and Maintenance Therapy With Isotretinoin",7257
2,NCT03126916,Phase III,Not yet recruiting,"[{'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1425, 'therapyName': '131I-MIBG'}, {'id': 1873, 'therapyName': 'Sargramostim'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 1206, 'therapyName': 'Busulfan'}, {'id': 5595, 'therapyName': 'Isotretinoin'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 2563, 'therapyName': 'Thiotepa'}, {'id': 706, 'therapyName': 'Crizotinib'}, {'id': 5153, 'therapyName': 'dexrazoxane'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1167, 'therapyName': 'Aldesleukin'}, {'id': 942, 'therapyName': 'Topotecan'}, {'id': 2286, 'therapyName': 'Dinutuximab  '}]",Iobenguane I-131 or Crizotinib and Standard Therapy in Treating Younger Patients With Newly-Diagnosed High-Risk Neuroblastoma or Ganglioneuroblastoma,7257
0,NCT03030885,Phase I,Recruiting,"[{'id': 5804, 'therapyName': '131I-MIP-1095'}]",Use of an Experimental Radiopharmaceutical (131I-MIP-1095) in Men With Metastatic Castration-Resistant Prostate Cancer (mCRPC),8802
0,NCT01384253,Phase I,Completed,"[{'id': 1540, 'therapyName': '212Pb-TCMC-Trastuzumab + Trastuzumab '}]",Safety Study of ²¹²Pb-TCMC-Trastuzumab Radio Immunotherapy,7188
0,NCT01534598,Phase I,Recruiting,"[{'id': 3789, 'therapyName': 'FdCyd + THU'}]",FdCyd and THU for Advanced Solid Tumors,8240
1,NCT00978250,Phase II,Recruiting,"[{'id': 3789, 'therapyName': 'FdCyd + THU'}]",A Multi-Histology Phase II Study of 5-Fluoro-2-Deoxycytidine With Tetrahydrouridine (FdCyd + THU),8240
0,NCT02425306,Phase Ib/II,Recruiting,"[{'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 2620, 'therapyName': '6MHP vaccine'}, {'id': 2595, 'therapyName': 'poly ICLC  '}]",Safety Study of a Helper Peptide Vaccine Plus Adjuvant Combinations for the Treatment of Melanoma,7614
1,NCT02382549,Phase Ib/II,Recruiting,"[{'id': 342, 'therapyName': 'Vemurafenib'}, {'id': 2620, 'therapyName': '6MHP vaccine'}]",A Clinical Trial to Evaluate a Helper Peptide Vaccine Plus Vemurafenib in Melanoma,7614
2,NCT02385669,Phase Ib/II,Recruiting,"[{'id': 2620, 'therapyName': '6MHP vaccine'}, {'id': 779, 'therapyName': 'Ipilimumab'}]",A Phase I/II Trial to Evaluate a Peptide Vaccine Plus Ipilimumab in Patients With Melanoma,7614
0,NCT00906516,Phase II,Unknown status,"[{'id': 2146, 'therapyName': 'Neuradiab + Bevacizumab'}]",Neuradiab Combined With Bevacizumab (Avastin) Therapy in Patients With Recurrent Glioblastoma Multiforme,7431
0,NCT02342782,Phase I,Recruiting,"[{'id': 2485, 'therapyName': '90Y basiliximab'}, {'id': 1811, 'therapyName': 'Carmustine'}, {'id': 2392, 'therapyName': 'Cytarabine + Etoposide'}, {'id': 1207, 'therapyName': 'Melphalan'}]",Yttrium Y 90 Basiliximab and Combination Chemotherapy Before Stem Cell Transplant in Treating Patients With Mature T-cell Non-Hodgkin Lymphoma,7540
1,NCT01476839,Phase I,Recruiting,"[{'id': 6258, 'therapyName': 'Basiliximab + 90Y basiliximab + Carmustine + Cytarbine + Etoposide + Melphalan'}]",Radiolabeled Monoclonal Antibody Therapy and Combination Chemotherapy Before Stem Cell Transplant in Treating Patients With Primary Refractory or Relapsed Hodgkin Lymphoma,7540
0,NCT02990416,Phase Ib/II,Not yet recruiting,"[{'id': 5137, 'therapyName': 'A-dmDT390-bisFv(UCHT1) + Pembrolizumab'}]",A-dmDT390-bisFv(UCHT1) Fusion Protein With Ionizing Radiation and Pembrolizumab for the Treatment of Stage IV Melanoma,8618
0,NCT02412462,Phase I,Completed,"[{'id': 4317, 'therapyName': 'AB-16B5'}]",Phase I Dose Escalation Study of AB-16B5 in Subjects With an Advanced Solid Malignancy,8408
0,NCT02391480,Phase I,Recruiting,"[{'id': 4028, 'therapyName': 'ABBV-075'}]",A Study Evaluating the Safety and Pharmacokinetics of ABBV-075 in Subjects With Cancer,8328
0,NCT02565758,Phase I,Recruiting,"[{'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 1312, 'therapyName': 'Nivolumab'}, {'id': 619, 'therapyName': 'Abraxane'}, {'id': 3846, 'therapyName': 'ABBV-085'}]","ABBV-085, an Antibody Drug Conjugate, in Subjects With Advanced Solid Cancer Tumors",8266
0,NCT03000257,Phase I,Recruiting,"[{'id': 5766, 'therapyName': 'ABBV-181'}]",A Study of ABBV-181 in Participants With Advanced Solid Tumors,8786
0,NCT02365662,Phase I,Recruiting,"[{'id': 2914, 'therapyName': 'ABBV-221'}]",A Study Evaluating Safety and Pharmacokinetics of ABBV-221 in Subjects With Advanced Solid Tumor Types Likely to Exhibit Elevated Levels of Epidermal Growth Factor Receptor,7837
0,NCT03071757,Phase I,Recruiting,"[{'id': 5446, 'therapyName': 'ABBV-368'}, {'id': 5447, 'therapyName': 'ABBV-368 + Nivolumab'}]","A Study of the Safety, Tolerability and Pharmacokinetics of ABBV-368 as a Single Agent and Combination in Subjects With Locally Advanced or Metastatic Solid Tumors",8693
