,id,therapyName,Drug_id
0,1332, octreotide acetate  ,7240
1,1333,Everolimus + Sandostatin LAR Depot,7240
2,3906,Octreotide acetate + Cixutumumab + Everolimus,7240
0,3281,(–)BI97D6,8007
0,3304,10058-F4,8024
0,2953,11C12,7867
1,4507,11C12 + Radiotherapy,7867
0,1425,131I-MIBG,7257
1,1426,131I-MIBG + Irinotecan + Vincristine,7257
2,1427,131I-MIBG + Vorinostat,7257
0,5804,131I-MIP-1095,8802
0,4122,17-Demethoxy-reblastatin,8355
0,5926,20G7-D9,8862
0,1071,212Pb-TCMC-Trastuzumab,7188
1,1540,212Pb-TCMC-Trastuzumab + Trastuzumab ,7188
0,4821,23814,8554
1,4824,23814 + Tivozanib,8554
0,1942,2g8,7365
0,5658,3144,8736
0,4136,4SC-202,8361
0,4137,4SC-205,8362
0,3788,5-Fluoro-2-deoxycytidine,8240
1,3789,FdCyd + THU,8240
0,2620,6MHP vaccine,7614
0,5339,79-6,8668
0,5669,7RH,8740
1,5670,7RH + LY411575,8740
0,2131,81C6,7431
1,2146,Neuradiab + Bevacizumab,7431
0,2485,90Y basiliximab,7540
1,6258,Basiliximab + 90Y basiliximab + Carmustine + Cytarbine + Etoposide + Melphalan,7540
0,5976,9F7-F11,8877
0,2576,A-1155463,7588
1,5665,A-1155463 + BETd-246,7588
0,3288,A-1155905,8013
0,3286,A-1208746,8011
0,3276,A-1210477,8006
1,5110,A-1210477 + A-1331852,8006
2,5091,A-1210477 + Cobimetinib,8006
3,5093,A-1210477 + Cobimetinib + Vemurafenib,8006
4,6068,A-1210477 + G-TPP,8006
5,5394,A-1210477 + Lapatinib + WEHI-539,8006
6,5092,A-1210477 + Vemurafenib,8006
7,5392,A-1210477 + WEHI-539,8006
0,3287,A-1248767,8012
0,5110,A-1210477 + A-1331852,7590
1,2578,A-1331852,7590
2,5111,A-1331852 + BKM120,7590
3,2579,A-1331852 + Docetaxel,7590
4,5109,A-1331852 + Ipatasertib,7590
0,5889,A-395,8846
0,2448,A-443654,7531
0,5437,A-674563,8689
0,5945,A-770041,8866
1,5947,A-770041 + PRT062607,8866
2,5948,A-770041 + R406,8866
0,2945,A-966492,7861
0,5136,A-dmDT390-bisFv(UCHT1),8618
1,5137,A-dmDT390-bisFv(UCHT1) + Pembrolizumab,8618
0,3495,A3,8099
1,3496,Lapatinib + A3,8099
0,617,A66,7056
1,3707,A66 + AZD6482,7056
2,3708,A66 + GSK2636771,7056
0,2757,A83-01,7708
0,4317,AB-16B5,8408
0,4677,AB0023,8511
0,4099,AB61,8348
0,2892,Abagovomab,7819
0,4028,ABBV-075,8328
1,5924,ABBV-075 + Azacitidine,8328
2,5925,ABBV-075 + Bortezomib,8328
3,5923,ABBV-075 + Venetoclax,8328
0,3846,ABBV-085,8266
0,5766,ABBV-181,8786
