,nctId,phase,recruitment,therapies,title,Indications_id
0,NCT02834013,Phase 0,Recruiting,"[{'id': 1627, 'therapyName': 'Nivolumab + Ipilimumab'}]",Nivolumab and Ipilimumab in Treating Patients With Rare Tumors,3025
0,NCT03095248,Phase II,Recruiting,"[{'id': 913, 'therapyName': 'Selumetinib'}]",Trial of Selumetinib in Patients With Neurofibromatosis Type II Related Tumors,12689
0,NCT02731729,Phase II,Recruiting,"[{'id': 779, 'therapyName': 'Ipilimumab'}, {'id': 1312, 'therapyName': 'Nivolumab'}]",Ipilimumab vs Ipilimumab Plus Nivolumab in Patients With Stage III-IV Melanoma Who Have Progressed or Relapsed on PD-1 Inhibitor Therapy,6367
1,NCT02879162,Phase II,Recruiting,"[{'id': 2439, 'therapyName': 'Durvalumab + Tremelimumab'}]",Durvalumab and Tremelimumab in Patients With Advanced Rare Tumours,6367
2,NCT02978443,Phase II,Recruiting,"[{'id': 1627, 'therapyName': 'Nivolumab + Ipilimumab'}]",A Biomarker Study in Advanced Mucosal or Acral Lentiginous Melanoma Receiving Nivolumab in Combination With Ipilimumab,6367
0,NCT00602693,Phase I,Completed,"[{'id': 917, 'therapyName': 'Sirolimus'}, {'id': 2311, 'therapyName': 'Allopurinol + Cyclophosphamide + Fludarabine'}]",T-Regulatory Cell Infusion Post Umbilical Cord Blood Transplant in Patients With Advanced Hematologic Cancer,12603
1,NCT00990249,Phase II,Completed,"[{'id': 2469, 'therapyName': 'Busulfan + Clofarabine + Thymoglobulin'}]",Busulfan Plus Clofarabine Followed by Allogeneic Hematopoietic Stem Cell Transplantation,12603
2,NCT01822509,Phase I,Recruiting,"[{'id': 1627, 'therapyName': 'Nivolumab + Ipilimumab'}]",Ipilimumab or Nivolumab in Treating Patients With Relapsed Hematologic Malignancies After Donor Stem Cell Transplant,12603
3,NCT02141828,Phase I,Completed,"[{'id': 2855, 'therapyName': 'EPZ-5676'}]",A Phase 1 Dose Escalation and Expanded Cohort Study of EPZ-5676 in the Treatment of Pediatric Patients With Relapsed/Refractory Leukemias Bearing a Rearrangement of the MLL Gene,12603
4,NCT02158858,Phase I,Recruiting,"[{'id': 2033, 'therapyName': 'CPI-0610'}]","A Phase 1 Study Evaluating CPI-0610 in Patients With Acute Leukemia, Myelodysplastic Syndrome, or Myelodysplastic/Myeloproliferative Neoplasms",12603
