,nctId,phase,recruitment,therapies,title,Therapies_id
0,NCT01655225,Phase I,Recruiting,"[{'id': 1214, 'therapyName': 'LY3023414 + Midazolam '}, {'id': 1215, 'therapyName': ' LY3023414 + Letrozole '}, {'id': 1069, 'therapyName': 'LY3023414'}]",A Study of LY3023414 in Participants With Advanced Cancer,1215
0,NCT03159117,Phase I,Recruiting,"[{'id': 5707, 'therapyName': ' PF-06688992'}]",Pfizer PF-06688992 in Patients With Stage III or Stage IV Melanoma,5707
0,NCT02035137,,Recruiting,"[{'id': 1425, 'therapyName': '131I-MIBG'}, {'id': 1426, 'therapyName': '131I-MIBG + Irinotecan + Vincristine'}, {'id': 1427, 'therapyName': '131I-MIBG + Vorinostat'}]",131I-MIBG Alone VS. 131I-MIBG With Vincristine and Irinotecan VS131I-MIBG With Vorinistat,1425
1,NCT01175356,Phase I,Completed,"[{'id': 2558, 'therapyName': 'Busulfan + Melphalan'}, {'id': 2590, 'therapyName': 'Cyclophosphamide + Topotecan'}, {'id': 1425, 'therapyName': '131I-MIBG'}, {'id': 2353, 'therapyName': 'Cyclophosphamide + Doxorubicin + Vincristine '}, {'id': 2585, 'therapyName': 'Cisplatin + Etoposide'}]","Induction Therapy Including 131 I-MIBG and Chemotherapy in Treating Patients With Newly Diagnosed High-Risk Neuroblastoma Undergoing Stem Cell Transplant, Radiation Therapy, and Maintenance Therapy With Isotretinoin",1425
2,NCT03126916,Phase III,Not yet recruiting,"[{'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1425, 'therapyName': '131I-MIBG'}, {'id': 1873, 'therapyName': 'Sargramostim'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 1206, 'therapyName': 'Busulfan'}, {'id': 5595, 'therapyName': 'Isotretinoin'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 2563, 'therapyName': 'Thiotepa'}, {'id': 706, 'therapyName': 'Crizotinib'}, {'id': 5153, 'therapyName': 'dexrazoxane'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1167, 'therapyName': 'Aldesleukin'}, {'id': 942, 'therapyName': 'Topotecan'}, {'id': 2286, 'therapyName': 'Dinutuximab  '}]",Iobenguane I-131 or Crizotinib and Standard Therapy in Treating Younger Patients With Newly-Diagnosed High-Risk Neuroblastoma or Ganglioneuroblastoma,1425
0,NCT02035137,,Recruiting,"[{'id': 1425, 'therapyName': '131I-MIBG'}, {'id': 1426, 'therapyName': '131I-MIBG + Irinotecan + Vincristine'}, {'id': 1427, 'therapyName': '131I-MIBG + Vorinostat'}]",131I-MIBG Alone VS. 131I-MIBG With Vincristine and Irinotecan VS131I-MIBG With Vorinistat,1426
0,NCT02035137,,Recruiting,"[{'id': 1425, 'therapyName': '131I-MIBG'}, {'id': 1426, 'therapyName': '131I-MIBG + Irinotecan + Vincristine'}, {'id': 1427, 'therapyName': '131I-MIBG + Vorinostat'}]",131I-MIBG Alone VS. 131I-MIBG With Vincristine and Irinotecan VS131I-MIBG With Vorinistat,1427
0,NCT03030885,Phase I,Recruiting,"[{'id': 5804, 'therapyName': '131I-MIP-1095'}]",Use of an Experimental Radiopharmaceutical (131I-MIP-1095) in Men With Metastatic Castration-Resistant Prostate Cancer (mCRPC),5804
0,NCT01384253,Phase I,Completed,"[{'id': 1540, 'therapyName': '212Pb-TCMC-Trastuzumab + Trastuzumab '}]",Safety Study of ²¹²Pb-TCMC-Trastuzumab Radio Immunotherapy,1540
0,NCT01386580,Phase Ib/II,Completed,"[{'id': 974, 'therapyName': '2B3-101'}, {'id': 1274, 'therapyName': '2B3-101 + Trastuzumab'}]","An Open-label, Phase I/IIa, Dose Escalating Study of 2B3-101 in Patients With Solid Tumors and Brain Metastases or Recurrent Malignant Glioma.",974
0,NCT01386580,Phase Ib/II,Completed,"[{'id': 974, 'therapyName': '2B3-101'}, {'id': 1274, 'therapyName': '2B3-101 + Trastuzumab'}]","An Open-label, Phase I/IIa, Dose Escalating Study of 2B3-101 in Patients With Solid Tumors and Brain Metastases or Recurrent Malignant Glioma.",1274
0,NCT02425306,Phase Ib/II,Recruiting,"[{'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 2620, 'therapyName': '6MHP vaccine'}, {'id': 2595, 'therapyName': 'poly ICLC  '}]",Safety Study of a Helper Peptide Vaccine Plus Adjuvant Combinations for the Treatment of Melanoma,2620
1,NCT02382549,Phase Ib/II,Recruiting,"[{'id': 342, 'therapyName': 'Vemurafenib'}, {'id': 2620, 'therapyName': '6MHP vaccine'}]",A Clinical Trial to Evaluate a Helper Peptide Vaccine Plus Vemurafenib in Melanoma,2620
2,NCT02385669,Phase Ib/II,Recruiting,"[{'id': 2620, 'therapyName': '6MHP vaccine'}, {'id': 779, 'therapyName': 'Ipilimumab'}]",A Phase I/II Trial to Evaluate a Peptide Vaccine Plus Ipilimumab in Patients With Melanoma,2620
0,NCT02342782,Phase I,Recruiting,"[{'id': 2485, 'therapyName': '90Y basiliximab'}, {'id': 1811, 'therapyName': 'Carmustine'}, {'id': 2392, 'therapyName': 'Cytarabine + Etoposide'}, {'id': 1207, 'therapyName': 'Melphalan'}]",Yttrium Y 90 Basiliximab and Combination Chemotherapy Before Stem Cell Transplant in Treating Patients With Mature T-cell Non-Hodgkin Lymphoma,2485
0,NCT02990416,Phase Ib/II,Not yet recruiting,"[{'id': 5137, 'therapyName': 'A-dmDT390-bisFv(UCHT1) + Pembrolizumab'}]",A-dmDT390-bisFv(UCHT1) Fusion Protein With Ionizing Radiation and Pembrolizumab for the Treatment of Stage IV Melanoma,5137
0,NCT02412462,Phase I,Completed,"[{'id': 4317, 'therapyName': 'AB-16B5'}]",Phase I Dose Escalation Study of AB-16B5 in Subjects With an Advanced Solid Malignancy,4317
0,NCT02391480,Phase I,Recruiting,"[{'id': 4028, 'therapyName': 'ABBV-075'}]",A Study Evaluating the Safety and Pharmacokinetics of ABBV-075 in Subjects With Cancer,4028
0,NCT02565758,Phase I,Recruiting,"[{'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 1312, 'therapyName': 'Nivolumab'}, {'id': 619, 'therapyName': 'Abraxane'}, {'id': 3846, 'therapyName': 'ABBV-085'}]","ABBV-085, an Antibody Drug Conjugate, in Subjects With Advanced Solid Cancer Tumors",3846
0,NCT03000257,Phase I,Recruiting,"[{'id': 5766, 'therapyName': 'ABBV-181'}]",A Study of ABBV-181 in Participants With Advanced Solid Tumors,5766
0,NCT02365662,Phase I,Recruiting,"[{'id': 2914, 'therapyName': 'ABBV-221'}]",A Study Evaluating Safety and Pharmacokinetics of ABBV-221 in Subjects With Advanced Solid Tumor Types Likely to Exhibit Elevated Levels of Epidermal Growth Factor Receptor,2914
0,NCT03071757,Phase I,Recruiting,"[{'id': 5446, 'therapyName': 'ABBV-368'}, {'id': 5447, 'therapyName': 'ABBV-368 + Nivolumab'}]","A Study of the Safety, Tolerability and Pharmacokinetics of ABBV-368 as a Single Agent and Combination in Subjects With Locally Advanced or Metastatic Solid Tumors",5446
0,NCT03071757,Phase I,Recruiting,"[{'id': 5446, 'therapyName': 'ABBV-368'}, {'id': 5447, 'therapyName': 'ABBV-368 + Nivolumab'}]","A Study of the Safety, Tolerability and Pharmacokinetics of ABBV-368 as a Single Agent and Combination in Subjects With Locally Advanced or Metastatic Solid Tumors",5447
0,NCT02099058,Phase I,Recruiting,"[{'id': 1743, 'therapyName': 'ABBV-399 + Carboplatin'}, {'id': 1364, 'therapyName': 'ABBV-399 + Erlotinib'}, {'id': 1363, 'therapyName': 'ABBV-399'}, {'id': 1366, 'therapyName': 'ABBV-399 + Bevacizumab'}, {'id': 1365, 'therapyName': 'ABBV-399 + Cetuximab'}]","A Phase 1/1b Study With ABBV-399, an Antibody Drug Conjugate, in Subjects With Advanced Solid Cancer Tumors",1363
0,NCT02099058,Phase I,Recruiting,"[{'id': 1743, 'therapyName': 'ABBV-399 + Carboplatin'}, {'id': 1364, 'therapyName': 'ABBV-399 + Erlotinib'}, {'id': 1363, 'therapyName': 'ABBV-399'}, {'id': 1366, 'therapyName': 'ABBV-399 + Bevacizumab'}, {'id': 1365, 'therapyName': 'ABBV-399 + Cetuximab'}]","A Phase 1/1b Study With ABBV-399, an Antibody Drug Conjugate, in Subjects With Advanced Solid Cancer Tumors",1366
0,NCT02099058,Phase I,Recruiting,"[{'id': 1743, 'therapyName': 'ABBV-399 + Carboplatin'}, {'id': 1364, 'therapyName': 'ABBV-399 + Erlotinib'}, {'id': 1363, 'therapyName': 'ABBV-399'}, {'id': 1366, 'therapyName': 'ABBV-399 + Bevacizumab'}, {'id': 1365, 'therapyName': 'ABBV-399 + Cetuximab'}]","A Phase 1/1b Study With ABBV-399, an Antibody Drug Conjugate, in Subjects With Advanced Solid Cancer Tumors",1743
0,NCT02099058,Phase I,Recruiting,"[{'id': 1743, 'therapyName': 'ABBV-399 + Carboplatin'}, {'id': 1364, 'therapyName': 'ABBV-399 + Erlotinib'}, {'id': 1363, 'therapyName': 'ABBV-399'}, {'id': 1366, 'therapyName': 'ABBV-399 + Bevacizumab'}, {'id': 1365, 'therapyName': 'ABBV-399 + Cetuximab'}]","A Phase 1/1b Study With ABBV-399, an Antibody Drug Conjugate, in Subjects With Advanced Solid Cancer Tumors",1365
0,NCT02099058,Phase I,Recruiting,"[{'id': 1743, 'therapyName': 'ABBV-399 + Carboplatin'}, {'id': 1364, 'therapyName': 'ABBV-399 + Erlotinib'}, {'id': 1363, 'therapyName': 'ABBV-399'}, {'id': 1366, 'therapyName': 'ABBV-399 + Bevacizumab'}, {'id': 1365, 'therapyName': 'ABBV-399 + Cetuximab'}]","A Phase 1/1b Study With ABBV-399, an Antibody Drug Conjugate, in Subjects With Advanced Solid Cancer Tumors",1364
0,NCT02955251,Phase I,Recruiting,"[{'id': 5051, 'therapyName': 'ABBV-428 + Nivolumab'}, {'id': 5050, 'therapyName': 'ABBV-428'}]","A Study Evaluating Safety and Pharmacokinetics, and the Recommended Phase 2 Dose (RPTD) of ABBV-428 in Participants With Advanced Solid Tumors",5050
0,NCT02955251,Phase I,Recruiting,"[{'id': 5051, 'therapyName': 'ABBV-428 + Nivolumab'}, {'id': 5050, 'therapyName': 'ABBV-428'}]","A Study Evaluating Safety and Pharmacokinetics, and the Recommended Phase 2 Dose (RPTD) of ABBV-428 in Participants With Advanced Solid Tumors",5051
0,NCT03082209,Phase I,Recruiting,"[{'id': 5756, 'therapyName': 'ABBV-621'}]",A Study of the Safety and Tolerability of ABBV-621 in Participants With Previously Treated Solid Tumors and Hematologic Malignancies,5756
0,NCT02988960,Phase I,Recruiting,"[{'id': 5143, 'therapyName': 'ABBV-927 + Nivolumab'}, {'id': 5142, 'therapyName': 'ABBV-927'}]","A Study of ABBV-927, an Immunotherapy, in Participants With Advanced Solid Tumors",5142
0,NCT02988960,Phase I,Recruiting,"[{'id': 5143, 'therapyName': 'ABBV-927 + Nivolumab'}, {'id': 5142, 'therapyName': 'ABBV-927'}]","A Study of ABBV-927, an Immunotherapy, in Participants With Advanced Solid Tumors",5143
0,NCT02939807,Phase II,Recruiting,"[{'id': 3301, 'therapyName': 'ABC294640'}]",A Phase II Study of ABC294640 as Second-Line Monotherapy in Patients With Advanced Hepatocellular Carcinoma,3301
1,NCT02229981,Phase Ib/II,Recruiting,"[{'id': 3301, 'therapyName': 'ABC294640'}]",An Early-Phase Clinical Trial Evaluating ABC294640 in Patients With Refractory/Relapsed Diffuse Large B-cell Lymphoma,3301
2,NCT02757326,Phase Ib/II,Recruiting,"[{'id': 3301, 'therapyName': 'ABC294640'}]",ABC294640 in Refractory / Relapsed Multiple Myeloma,3301
0,NCT02450539,Phase II,"Active, not recruiting","[{'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 720, 'therapyName': 'Docetaxel'}]",A Study of Abemaciclib (LY2835219) in Participants With Stage IV Squamous Non-small Cell Lung Cancer,802
1,NCT02688088,Phase I,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 3729, 'therapyName': 'Caffeine + Dextromethorphan + Midazolam + Warfarin'}]",A Study of Abemaciclib in Participants With Cancer That is Advanced or Has Spread to Another Part(s) of the Body,802
