,drugName,id,terms,Therapies_id
0,Letrozole,995,"['Letrozole', 'Femara', 'Letrozol']",1215
1,LY3023414,7186,['LY3023414'],1215
0, octreotide acetate  ,7240,"[' octreotide acetate  ', 'Sandostatin Lar Depot \t', 'SMS 201-995']",1332
0,PF-06688992,8757,['PF-06688992'],5707
0,(–)BI97D6,8007,['(–)BI97D6'],3281
0,10058-F4,8024,['10058-F4'],3304
0,11C12,7867,['11C12'],2953
0,11C12,7867,['11C12'],4507
1,Radiotherapy,8264,['Radiotherapy'],4507
0,131I-MIBG,7257,"['131I-MIBG', 'I131 Metaiodobenzylguanidine iodine', 'iobenguane I131']",1425
0,Irinotecan,752,"['Irinotecan', 'Camptosar', 'CPT-11']",1426
1,Vincristine,531,"['Vincristine', 'Oncovin', '22-Oxovincaleukoblastine']",1426
2,131I-MIBG,7257,"['131I-MIBG', 'I131 Metaiodobenzylguanidine iodine', 'iobenguane I131']",1426
0,Vorinostat,7193,"['Vorinostat', 'Zolinza', 'L-001079038', 'MSK390', 'SAHA']",1427
1,131I-MIBG,7257,"['131I-MIBG', 'I131 Metaiodobenzylguanidine iodine', 'iobenguane I131']",1427
0,131I-MIP-1095,8802,['131I-MIP-1095'],5804
0,17-Demethoxy-reblastatin,8355,"['17-Demethoxy-reblastatin', '17-DR']",4122
0,2-Methoxyestradiol ,7241,"['2-Methoxyestradiol ', '2ME2']",1341
0,20G7-D9,8862,['20G7-D9'],5926
0,212Pb-TCMC-Trastuzumab,7188,['212Pb-TCMC-Trastuzumab'],1071
0,212Pb-TCMC-Trastuzumab,7188,['212Pb-TCMC-Trastuzumab'],1540
1,Trastuzumab,71,"['Trastuzumab', 'Herceptin', 'Anti HER2']",1540
0,23814,8554,['23814'],4821
0,Tivozanib,7173,"['Tivozanib', 'AV-951']",4824
1,23814,8554,['23814'],4824
0,2B3-101,7081,['2B3-101'],974
0,Trastuzumab,71,"['Trastuzumab', 'Herceptin', 'Anti HER2']",1274
