,createDate,id,therapyDescriptions,therapyName,updateDate
0,2014-07-29T18:29:52Z,1215,[], LY3023414 + Letrozole ,2014-07-29T18:29:52Z
0,2014-08-01T00:52:20Z,1332,"[{'description': 'Sandostatin Lar Depot (octreotide acetate) mimics the activity of somatostatin, inhibiting growth hormone, glucagon, and insulin, decreasing LH response to gonadotropin-releasing hormone, decreasing splanchnic blood flow, and inhibiting the release of serotonin, gastrin, vasoactive intestinal peptide, secretin, motilin, pancreatic polypeptide, and thyroid stimulating hormone (NCI Drug Dictionary).', 'references': [{'id': 287, 'pubMedId': None, 'title': '(NCI Drug Dictionary)', 'url': 'http://www.cancer.gov/drugdictionary'}]}]", octreotide acetate  ,2014-10-24T00:14:03Z
0,2017-05-19T19:20:20Z,5707,"[{'description': 'Limited information is currently available on PF-06688992 (May, 2017).', 'references': [{'id': 275, 'pubMedId': 10, 'title': '', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/10'}]}]", PF-06688992,2017-05-19T19:20:42Z
0,2015-12-11T14:36:24Z,3281,"[{'description': '(–)BI97D6 is a pan-BCL2 family inhibitor, which inhibits BCL-2, MCL1, BCL-XL, and BFL1, resulting in increased tumor cell apoptosis (PMID: 26045609).', 'references': [{'id': 4092, 'pubMedId': 26045609, 'title': 'Inhibition of Mcl-1 with the pan-Bcl-2 family inhibitor (-)BI97D6 overcomes ABT-737 resistance in acute myeloid leukemia.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/26045609'}]}]",(–)BI97D6,2015-12-11T14:36:24Z
0,2015-12-18T20:35:02Z,3304,"[{'description': '10058-F4 binds to MYC and inhibits the interaction between MYC and MAX, potentially resulting in decreased growth of MYC-expressing tumor cells (PMID: 25143136, PMID: 17876039).', 'references': [{'id': 4130, 'pubMedId': 25143136, 'title': 'Evaluation of the antitumor effects of c-Myc-Max heterodimerization inhibitor 100258-F4 in ovarian cancer cells.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25143136'}, {'id': 4131, 'pubMedId': 17876039, 'title': 'Improved low molecular weight Myc-Max inhibitors.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/17876039'}]}]",10058-F4,2015-12-18T20:38:21Z
0,2015-07-23T17:09:21Z,2953,"[{'description': '11C12 is a monoclonal antibody against EphA5, which may result in inhibition of cell proliferation and induce senescence (PMID: 25623065). ', 'references': [{'id': 3290, 'pubMedId': 25623065, 'title': 'Receptor tyrosine kinase EphA5 is a functional molecular target in human lung cancer.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25623065'}]}]",11C12,2015-07-23T17:09:21Z
0,2016-07-29T14:16:11Z,4507,[],11C12 + Radiotherapy,2016-07-29T14:16:11Z
0,2014-09-11T01:22:52Z,1425,"[{'description': '131I-MIBG is a radioconjugate comprised of radiolabeled norepinephrine, which can be used to image or eliminate tumor cells (NCI Drug Dictionary). ', 'references': [{'id': 287, 'pubMedId': None, 'title': '(NCI Drug Dictionary)', 'url': 'http://www.cancer.gov/drugdictionary'}]}]",131I-MIBG,2015-04-10T16:17:59Z
0,2014-09-11T01:24:22Z,1426,[],131I-MIBG + Irinotecan + Vincristine,2014-09-11T01:24:22Z
0,2014-09-11T01:25:16Z,1427,[],131I-MIBG + Vorinostat,2014-09-11T01:25:16Z
0,2017-05-30T15:50:01Z,5804,"[{'description': '131I-MIP-1095 is a small molecule inhibitor of FOLH1 (prostate specific membrane antigen, PSMA) radiolabeled with iodine 131, which may result in antitumor efficacy (PMID: 24577951).', 'references': [{'id': 9013, 'pubMedId': 24577951, 'title': 'Radiation dosimetry and first therapy results with a (124)I/ (131)I-labeled small molecule (MIP-1095) targeting PSMA for prostate cancer therapy.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/24577951'}]}]",131I-MIP-1095,2017-05-30T15:51:34Z
0,2016-05-16T10:10:20Z,4122,"[{'description': '17-demethoxy-reblastatin is a second generation HSP90 inhibitor, which may lead to decreased proliferation and increased apoptosis of tumor cells (PMID: 26323360).', 'references': []}]",17-Demethoxy-reblastatin,2016-05-19T19:56:03Z
0,2014-08-01T06:47:11Z,1341,[],2-Methoxyestradiol ,2014-08-01T06:47:11Z
