,id,pubMedId,title,url,Treatment_id
0,222,21639808,Improved survival with vemurafenib in melanoma with BRAF V600E mutation.,http://www.ncbi.nlm.nih.gov/pubmed/21639808,1
1,467,22608338,"Dabrafenib in patients with melanoma, untreated brain metastases, and other solid tumours: a phase 1 dose-escalation trial.",http://www.ncbi.nlm.nih.gov/pubmed/22608338,1
2,9743,28203297,Therapeutic approach to treating patients with BRAF-mutant lung cancer: latest evidence and clinical implications.,http://www.ncbi.nlm.nih.gov/pubmed/28203297,1
0,468,22663011,Improved survival with MEK inhibition in BRAF-mutated melanoma.,http://www.ncbi.nlm.nih.gov/pubmed/22663011,2
0,468,22663011,Improved survival with MEK inhibition in BRAF-mutated melanoma.,http://www.ncbi.nlm.nih.gov/pubmed/22663011,7
0,510,21821475,The underlying mechanism for the PARP and BRCA synthetic lethality: clearing up the misunderstandings.,http://www.ncbi.nlm.nih.gov/pubmed/21821475,33
0,510,21821475,The underlying mechanism for the PARP and BRCA synthetic lethality: clearing up the misunderstandings.,http://www.ncbi.nlm.nih.gov/pubmed/21821475,36
0,137,20739657,The PARP inhibitor olaparib induces significant killing of ATM-deficient lymphoid tumor cells in vitro and in vivo.,http://www.ncbi.nlm.nih.gov/pubmed/20739657,40
0,514,16556909,Inhibition of poly (ADP-ribose) polymerase activates ATM which is required for subsequent homologous recombination repair.,http://www.ncbi.nlm.nih.gov/pubmed/16556909,42
0,520,23881923,"BMN 673, a novel and highly potent PARP1/2 inhibitor for the treatment of human cancers with DNA repair deficiency.",http://www.ncbi.nlm.nih.gov/pubmed/23881923,43
0,527,21838707,Activating ALK mutations found in neuroblastoma are inhibited by Crizotinib and NVP-TAE684.,http://www.ncbi.nlm.nih.gov/pubmed/21838707,45
0,527,21838707,Activating ALK mutations found in neuroblastoma are inhibited by Crizotinib and NVP-TAE684.,http://www.ncbi.nlm.nih.gov/pubmed/21838707,46
0,527,21838707,Activating ALK mutations found in neuroblastoma are inhibited by Crizotinib and NVP-TAE684.,http://www.ncbi.nlm.nih.gov/pubmed/21838707,47
0,527,21838707,Activating ALK mutations found in neuroblastoma are inhibited by Crizotinib and NVP-TAE684.,http://www.ncbi.nlm.nih.gov/pubmed/21838707,48
0,527,21838707,Activating ALK mutations found in neuroblastoma are inhibited by Crizotinib and NVP-TAE684.,http://www.ncbi.nlm.nih.gov/pubmed/21838707,49
0,527,21838707,Activating ALK mutations found in neuroblastoma are inhibited by Crizotinib and NVP-TAE684.,http://www.ncbi.nlm.nih.gov/pubmed/21838707,50
0,137,20739657,The PARP inhibitor olaparib induces significant killing of ATM-deficient lymphoid tumor cells in vitro and in vivo.,http://www.ncbi.nlm.nih.gov/pubmed/20739657,51
0,137,20739657,The PARP inhibitor olaparib induces significant killing of ATM-deficient lymphoid tumor cells in vitro and in vivo.,http://www.ncbi.nlm.nih.gov/pubmed/20739657,58
0,410,16187797,Oncogenic transformation by inhibitor-sensitive and -resistant EGFR mutants.,http://www.ncbi.nlm.nih.gov/pubmed/16187797,69
1,447,24857124,Management and future directions in non-small cell lung cancer with known activating mutations.,http://www.ncbi.nlm.nih.gov/pubmed/24857124,69
0,537,24893891,"AZD9291, an irreversible EGFR TKI, overcomes T790M-mediated resistance to EGFR inhibitors in lung cancer.",http://www.ncbi.nlm.nih.gov/pubmed/24893891,71
0,561,22649146,HER2 mutations in non-small-cell lung cancer can be continually targeted.,http://www.ncbi.nlm.nih.gov/pubmed/22649146,81
1,563,21991949,Adjuvant trastuzumab in HER2-positive breast cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21991949,81
2,564,23801166,First FDA approval of dual anti-HER2 regimen: pertuzumab in combination with trastuzumab and docetaxel for HER2-positive metastatic breast cancer.,http://www.ncbi.nlm.nih.gov/pubmed/23801166,81
0,9560,26260909,Neratinib shows efficacy in the treatment of HER2 amplified carcinosarcoma in vitro and in vivo.,http://www.ncbi.nlm.nih.gov/pubmed/26260909,82
1,9561,24367169,Lapatinib: new opportunities for management of breast cancer.,http://www.ncbi.nlm.nih.gov/pubmed/24367169,82
0,9557,28520362,,http://www.ncbi.nlm.nih.gov/pubmed/28520362,102
1,9558,28520364,,http://www.ncbi.nlm.nih.gov/pubmed/28520364,102
2,9559,25398397,"T-DM1, a novel antibody-drug conjugate, is highly effective against uterine and ovarian carcinosarcomas overexpressing HER2.",http://www.ncbi.nlm.nih.gov/pubmed/25398397,102
0,651,24317392,"A new KIT mutation (N505I) in acral melanoma confers constitutive signaling, favors tumorigenic properties, and is sensitive to imatinib.",http://www.ncbi.nlm.nih.gov/pubmed/24317392,107
0,705,11756186,FLT3 internal tandem duplication mutations associated with human acute myeloid leukemias induce myeloproliferative disease in a murine bone marrow transplant model.,http://www.ncbi.nlm.nih.gov/pubmed/11756186,120
0,770,20609467,Oral poly(ADP-ribose) polymerase inhibitor olaparib in patients with BRCA1 or BRCA2 mutations and advanced breast cancer: a proof-of-concept trial.,http://www.ncbi.nlm.nih.gov/pubmed/20609467,138
0,286,,FDA.gov,http://www.fda.gov/,154
0,333,17483355,"An orally available small-molecule inhibitor of c-Met, PF-2341066, exhibits cytoreductive antitumor efficacy through antiproliferative and antiangiogenic mechanisms.",http://www.ncbi.nlm.nih.gov/pubmed/17483355,159
0,1038,23248156,PIK3CA mutations in advanced cancers: characteristics and outcomes.,http://www.ncbi.nlm.nih.gov/pubmed/23248156,168
0,2493,25668228,EGFR T790M resistance mutation in non small-cell lung carcinoma.,http://www.ncbi.nlm.nih.gov/pubmed/25668228,170
0,445,22805291,"Safety, pharmacokinetic, pharmacodynamic, and efficacy data for the oral MEK inhibitor trametinib: a phase 1 dose-escalation trial.",http://www.ncbi.nlm.nih.gov/pubmed/22805291,177
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,178
0,445,22805291,"Safety, pharmacokinetic, pharmacodynamic, and efficacy data for the oral MEK inhibitor trametinib: a phase 1 dose-escalation trial.",http://www.ncbi.nlm.nih.gov/pubmed/22805291,179
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,183
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,184
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,185
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,186
0,445,22805291,"Safety, pharmacokinetic, pharmacodynamic, and efficacy data for the oral MEK inhibitor trametinib: a phase 1 dose-escalation trial.",http://www.ncbi.nlm.nih.gov/pubmed/22805291,187
0,1038,23248156,PIK3CA mutations in advanced cancers: characteristics and outcomes.,http://www.ncbi.nlm.nih.gov/pubmed/23248156,188
0,1038,23248156,PIK3CA mutations in advanced cancers: characteristics and outcomes.,http://www.ncbi.nlm.nih.gov/pubmed/23248156,189
0,1038,23248156,PIK3CA mutations in advanced cancers: characteristics and outcomes.,http://www.ncbi.nlm.nih.gov/pubmed/23248156,190
0,1038,23248156,PIK3CA mutations in advanced cancers: characteristics and outcomes.,http://www.ncbi.nlm.nih.gov/pubmed/23248156,191
0,1038,23248156,PIK3CA mutations in advanced cancers: characteristics and outcomes.,http://www.ncbi.nlm.nih.gov/pubmed/23248156,192
0,1038,23248156,PIK3CA mutations in advanced cancers: characteristics and outcomes.,http://www.ncbi.nlm.nih.gov/pubmed/23248156,193
0,1038,23248156,PIK3CA mutations in advanced cancers: characteristics and outcomes.,http://www.ncbi.nlm.nih.gov/pubmed/23248156,194
0,1038,23248156,PIK3CA mutations in advanced cancers: characteristics and outcomes.,http://www.ncbi.nlm.nih.gov/pubmed/23248156,195
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,203
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,204
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,205
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,206
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,207
0,445,22805291,"Safety, pharmacokinetic, pharmacodynamic, and efficacy data for the oral MEK inhibitor trametinib: a phase 1 dose-escalation trial.",http://www.ncbi.nlm.nih.gov/pubmed/22805291,208
0,445,22805291,"Safety, pharmacokinetic, pharmacodynamic, and efficacy data for the oral MEK inhibitor trametinib: a phase 1 dose-escalation trial.",http://www.ncbi.nlm.nih.gov/pubmed/22805291,209
0,445,22805291,"Safety, pharmacokinetic, pharmacodynamic, and efficacy data for the oral MEK inhibitor trametinib: a phase 1 dose-escalation trial.",http://www.ncbi.nlm.nih.gov/pubmed/22805291,210
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,211
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,212
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,213
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,214
0,1790,21831957,Synergistic action of a RAF inhibitor and a dual PI3K/mTOR inhibitor in thyroid cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21831957,215
