nctId,title
NCT00002651,Hormone Therapy in Treating Men With Stage IV Prostate Cancer
NCT00003553,Peripheral Stem Cell Transplant in Treating Patients With Metastatic Kidney Cancer
NCT00006199,"Study of the Farnesyl Transferase Inhibitor, R115777, in Combination With Topotecan (NYU 99-32)"
NCT00020566,"Combination Chemotherapy With or Without Peripheral Stem Cell Transplantation, Radiation Therapy, and/or Surgery in Treating Patients With Ewing's Sarcoma"
NCT00030264,Combination Chemotherapy in Treating Patients With Neurofibromatosis and Progressive Plexiform Neurofibromas
NCT00040222,"Clinical, Genetic, Behavioral, Laboratory and Epidemiologic Characterization of Individuals and Families at High Risk of Breast/Ovarian Cancer"
NCT00054496,Erlotinib in Treating Patients With Recurrent or Progressive Glioblastoma Multiforme
NCT00074490,Donor Stem Cell Transplant With No or Low-Intensity Chemotherapy Using Sirolimus and Treated Immune Cells to Treat Blood and Lymph Cancers
NCT00084695,Umbilical Cord Blood for Stem Cell Transplantation in Treating Young Patients With Malignant or Nonmalignant Diseases
NCT00092222,Virotherapy and Natural History Study of KHSV-Associated Multricentric Castleman s Disease With Correlates of Disease Activity
NCT00114738,EPOCH-R Chemotherapy Plus Bortezomib to Treat Mantle Cell Lymphoma
NCT00129740,Phase II Nilotinib With Newly Diagnosed Chronic Phase Chronic Myelogenous Leukemia (CML)
NCT00150657,Study of Carboplatin/Gemcitabine Plus Bevacizumab in Advanced Lung Cancer
NCT00167180,Post Transplant Donor Lymphocyte Infusion
NCT00184015,"Bortezomib and Bevacizumab (""BB-mib-mab"") in Patients With Advanced or Recurrent Renal Cell Cancer (RCC)"
NCT00223665,Intermittent Hormone Therapy in Men With Localized Prostate Cancer After Radiation Therapy or Radical Prostatectomy
NCT00254319,Previously Untreated Advanced Non-Small Cell Lung Cancer (NSCLC)
NCT00267865,Chemotherapy and HAART to Treat AIDS-related Primary Brain Lymphoma
NCT00290485,Gleevec Administered Preoperatively to Reduce Gastrointestinal Stromal Tumor (GIST)
NCT00292955,"Cetuximab, Cisplatin, and Radiotherapy in Women With Locally Advanced Cervical Carcinoma"
