id,geneSymbol,terms
25,ABL1,"['ABL1', 'ABL', 'bcr/abl', 'c-ABL', 'c-ABL1', 'CHDSKM', 'JTK7', 'p150', 'v-abl']"
207,AKT1,"['AKT1', 'AKT', 'CWS6', 'PKB', 'PKB-ALPHA', 'PRKBA', 'RAC', 'RAC-ALPHA']"
238,ALK,"['ALK', 'CD246', 'NBLST3']"
324,APC,"['APC', 'BTPS2', 'DP2', 'DP2.5', 'DP3', 'GS', 'PPP1R46']"
171023,ASXL1,"['ASXL1', 'BOPS', 'MDS']"
472,ATM,"['ATM', 'AT1', 'ATA', 'ATC', 'ATD', 'ATDC', 'ATE', 'TEL1', 'TELO1']"
546,ATRX,"['ATRX', 'JMS', 'MRX52', 'RAD54', 'RAD54L', 'XH2', 'XNP', 'ZNF-HX']"
54880,BCOR,"['BCOR', 'ANOP2', 'MAA2', 'MCOPS2']"
63035,BCORL1,"['BCORL1', 'BCoR-L1', 'CXorf10']"
673,BRAF,"['BRAF', 'B-raf', 'B-RAF1', 'BRAF1', 'NS7', 'RAFB1']"
672,BRCA1,"['BRCA1', 'BRCAI', 'BRCC1', 'BROVCA1', 'FANCS', 'IRIS', 'PNCA4', 'PPP1R53', 'PSCP', 'RNF53']"
675,BRCA2,"['BRCA2', 'BRCC2', 'BROVCA2', 'FACD', 'FAD', 'FAD1', 'FANCD', 'FANCD1', 'GLM3', 'PNCA2', 'XRCC11']"
811,CALR,"['CALR', 'cC1qR', 'CRT', 'HEL-S-99n', 'RO', 'SSA']"
867,CBL,"['CBL', 'C-CBL', 'CBL2', 'FRA11B', 'NSLL', 'RNF55']"
868,CBLB,"['CBLB', 'Cbl-b', 'Nbla00127', 'RNF56']"
23624,CBLC,"['CBLC', 'CBL-3', 'CBL-SL', 'RNF57']"
999,CDH1,"['CDH1', 'Arc-1', 'BCDS1', 'CD324', 'CDHE', 'ECAD', 'LCAM', 'UVO']"
1029,CDKN2A,"['CDKN2A', 'ARF', 'CDK4I', 'CDKN2', 'CMM2', 'INK4', 'INK4A', 'MLM', 'MTS-1', 'MTS1', 'P14', 'P14ARF', 'P16', 'P16-INK4A', 'P16INK4', 'P16INK4A', 'P19', 'P19ARF', 'TP16']"
1050,CEBPA,"['CEBPA', 'C/EBP-alpha', 'CEBP']"
1436,CSF1R,"['CSF1R', 'C-FMS', 'CD115', 'CSF-1R', 'CSFR', 'FIM2', 'FMS', 'HDLS', 'M-CSF-R']"
1441,CSF3R,"['CSF3R', 'CD114', 'GCSFR', 'SCN7']"
1499,CTNNB1,"['CTNNB1', 'armadillo', 'CTNNB', 'EVR7', 'MRD19']"
1788,DNMT3A,"['DNMT3A', 'DNMT3A2', 'M.HsaIIIA', 'TBRS']"
1956,EGFR,"['EGFR', 'ERBB', 'ERBB1', 'HER1', 'mENA', 'NISBD2', 'PIG61']"
27436,EML4,"['EML4', 'C2orf2', 'ELP120', 'EMAP-4', 'EMAPL4', 'ROPP120']"
2064,ERBB2,"['ERBB2', 'CD340', 'HER-2', 'HER-2/neu', 'HER2', 'MLN 19', 'NEU', 'NGL', 'TKR1']"
2066,ERBB4,"['ERBB4', 'ALS19', 'HER4', 'p180erbB4']"
2120,ETV6,"['ETV6', 'TEL', 'TEL/ABL', 'THC5']"
2146,EZH2,"['EZH2', 'ENX-1', 'ENX1', 'EZH2b', 'KMT6', 'KMT6A', 'WVS', 'WVS2']"
55294,FBXW7,"['FBXW7', 'AGO', 'CDC4', 'FBW6', 'FBW7', 'FBX30', 'FBXO30', 'FBXW6', 'hAgo', 'hCdc4', 'SEL-10', 'SEL10']"
2260,FGFR1,"['FGFR1', 'bFGF-R-1', 'BFGFR', 'CD331', 'CEK', 'ECCL', 'FGFBR', 'FGFR-1', 'FLG', 'FLT-2', 'FLT2', 'HBGFR', 'HH2', 'HRTFDS', 'KAL2', 'N-SAM', 'OGD']"
2263,FGFR2,"['FGFR2', 'BBDS', 'BEK', 'BFR-1', 'CD332', 'CEK3', 'CFD1', 'ECT1', 'JWS', 'K-SAM', 'KGFR', 'TK14', 'TK25']"
2261,FGFR3,"['FGFR3', 'ACH', 'CD333', 'CEK2', 'HSFGFR3EX', 'JTK4']"
2322,FLT3,"['FLT3', 'CD135', 'FLK-2', 'FLK2', 'STK1']"
668,FOXL2,"['FOXL2', 'BPES', 'BPES1', 'PFRK', 'PINTO', 'POF3']"
2623,GATA1,"['GATA1', 'ERYF1', 'GATA-1', 'GF-1', 'GF1', 'NF-E1', 'NFE1', 'XLANP', 'XLTDA', 'XLTT']"
2624,GATA2,"['GATA2', 'DCML', 'IMD21', 'MONOMAC', 'NFE1B']"
2767,GNA11,"['GNA11', 'FBH', 'FBH2', 'FHH2', 'GNA-11', 'HHC2', 'HYPOC2']"
2776,GNAQ,"['GNAQ', 'CMC1', 'G-ALPHA-q', 'GAQ', 'SWS']"
2778,GNAS,"['GNAS', 'AHO', 'C20orf45', 'GNAS1', 'GPSA', 'GSA', 'GSP', 'NESP', 'PITA3', 'POH', 'SCG6', 'SgVI']"
6927,HNF1A,"['HNF1A', 'HNF-1A', 'HNF1', 'IDDM20', 'LFB1', 'MODY3', 'TCF-1', 'TCF1']"
3265,HRAS,"['HRAS', 'C-BAS/HAS', 'C-H-RAS', 'C-HA-RAS1', 'CTLO', 'H-RASIDX', 'HAMSV', 'HRAS1', 'p21ras', 'RASH1']"
3417,IDH1,"['IDH1', 'HEL-216', 'HEL-S-26', 'IDCD', 'IDH', 'IDP', 'IDPC', 'PICD']"
3418,IDH2,"['IDH2', 'D2HGA2', 'ICD-M', 'IDH', 'IDHM', 'IDP', 'IDPM', 'mNADP-IDH']"
10320,IKZF1,"['IKZF1', 'CVID13', 'Hs.54452', 'IK1', 'IKAROS', 'LyF-1', 'LYF1', 'PPP1R92', 'PRO0758', 'ZNFN1A1']"
3717,JAK2,"['JAK2', 'JTK10', 'THCYT3']"
3718,JAK3,"['JAK3', 'JAK-3', 'JAK3_HUMAN', 'JAKL', 'L-JAK', 'LJAK']"
7403,KDM6A,"['KDM6A', 'bA386N14.2', 'KABUK2', 'UTX']"
3791,KDR,"['KDR', 'CD309', 'FLK1', 'VEGFR', 'VEGFR2']"
3815,KIT,"['KIT', 'C-Kit', 'CD117', 'PBT', 'SCFR']"
