id,pubMedId,title,url
1,23344264,DNA-Mutation Inventory to Refine and Enhance Cancer Treatment (DIRECT): a catalog of clinically relevant cancer mutations to enable genome-directed anticancer therapy.,http://www.ncbi.nlm.nih.gov/pubmed/23344264
2,22843421,Mechanisms of BRCA1 tumor suppression.,http://www.ncbi.nlm.nih.gov/pubmed/22843421
3,22798288,BRAF(L597) mutations in melanoma are associated with sensitivity to MEK inhibitors.,http://www.ncbi.nlm.nih.gov/pubmed/22798288
4,22193408,BRCA1 and BRCA2: different roles in a common pathway of genome protection.,http://www.ncbi.nlm.nih.gov/pubmed/22193408
5,21731065,Unraveling the mechanism of BRCA2 in homologous recombination.,http://www.ncbi.nlm.nih.gov/pubmed/21731065
6,20547991,Gene expression profile of BRCAness that correlates with responsiveness to chemotherapy and with outcome in patients with epithelial ovarian cancer.,http://www.ncbi.nlm.nih.gov/pubmed/20547991
7,18794803,CRAF inhibition induces apoptosis in melanoma cells with non-V600E BRAF mutations.,http://www.ncbi.nlm.nih.gov/pubmed/18794803
8,18172190,"CHEK2*1100delC genotyping for clinical assessment of breast cancer risk: meta-analyses of 26,000 patient cases and 27,000 controls.",http://www.ncbi.nlm.nih.gov/pubmed/18172190
9,16998506,The CHEK2 gene and inherited breast cancer susceptibility.,http://www.ncbi.nlm.nih.gov/pubmed/16998506
10,9836640,Linkage of ATM to cell cycle regulation by the Chk2 protein kinase.,http://www.ncbi.nlm.nih.gov/pubmed/9836640
11,24091716,Current status of targeted therapy for anaplastic lymphoma kinase-rearranged non-small cell lung cancer.,http://www.ncbi.nlm.nih.gov/pubmed/24091716
12,10065147,Introduction: p53--the first twenty years.,http://www.ncbi.nlm.nih.gov/pubmed/10065147
13,16243804,p53 Codon 72 polymorphism predicts the pathologic response to neoadjuvant chemotherapy in patients with breast cancer.,http://www.ncbi.nlm.nih.gov/pubmed/16243804
14,20948295,Differential basal levels of MDM-2 transcription induced by p53-P72 and p53-R72.,http://www.ncbi.nlm.nih.gov/pubmed/20948295
15,22864622,Aurora A kinase (AURKA) in normal and pathological cell division.,http://www.ncbi.nlm.nih.gov/pubmed/22864622
16,12881723,Identification of Stk6/STK15 as a candidate low-penetrance tumor-susceptibility gene in mouse and human.,http://www.ncbi.nlm.nih.gov/pubmed/12881723
17,23403721,Exploring mechanisms of FGF signalling through the lens of structural biology.,http://www.ncbi.nlm.nih.gov/pubmed/23403721
18,21622724,FGFR-4 Arg³⁸⁸ enhances prostate cancer progression via extracellular signal-related kinase and serum response factor signaling.,http://www.ncbi.nlm.nih.gov/pubmed/21622724
19,20606037,Vascular endothelial growth factor receptors VEGFR-2 and VEGFR-3 are localized primarily to the vasculature in human primary solid cancers.,http://www.ncbi.nlm.nih.gov/pubmed/20606037
20,21712447,Novel functional germline variants in the VEGF receptor 2 gene and their effect on gene expression and microvessel density in lung cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21712447
21,16912195,"Kinetic analysis of epidermal growth factor receptor somatic mutant proteins shows increased sensitivity to the epidermal growth factor receptor tyrosine kinase inhibitor, erlotinib.",http://www.ncbi.nlm.nih.gov/pubmed/16912195
22,17495523,Allele-dependent variation in the relative cellular potency of distinct EGFR inhibitors.,http://www.ncbi.nlm.nih.gov/pubmed/17495523
23,23251911,G protein-coupled receptors--recent advances.,http://www.ncbi.nlm.nih.gov/pubmed/23251911
24,2549426,GTPase inhibiting mutations activate the alpha chain of Gs and stimulate adenylyl cyclase in human pituitary tumours.,http://www.ncbi.nlm.nih.gov/pubmed/2549426
