id,therapyName
1215, LY3023414 + Letrozole 
1332, octreotide acetate  
5707, PF-06688992
3281,(–)BI97D6
3304,10058-F4
2953,11C12
4507,11C12 + Radiotherapy
1425,131I-MIBG
1426,131I-MIBG + Irinotecan + Vincristine
1427,131I-MIBG + Vorinostat
5804,131I-MIP-1095
4122,17-Demethoxy-reblastatin
1341,2-Methoxyestradiol 
5926,20G7-D9
1071,212Pb-TCMC-Trastuzumab
1540,212Pb-TCMC-Trastuzumab + Trastuzumab 
4821,23814
4824,23814 + Tivozanib
974,2B3-101
1274,2B3-101 + Trastuzumab
1942,2g8
5658,3144
4136,4SC-202
4137,4SC-205
3788,5-Fluoro-2-deoxycytidine
2620,6MHP vaccine
5339,79-6
5669,7RH
5670,7RH + LY411575
2131,81C6
2485,90Y basiliximab
5976,9F7-F11
2576,A-1155463
5665,A-1155463 + BETd-246
3288,A-1155905
3286,A-1208746
3276,A-1210477
5110,A-1210477 + A-1331852
5091,A-1210477 + Cobimetinib
5093,A-1210477 + Cobimetinib + Vemurafenib
6068,A-1210477 + G-TPP
5394,A-1210477 + Lapatinib + WEHI-539
5092,A-1210477 + Vemurafenib
5392,A-1210477 + WEHI-539
3287,A-1248767
2578,A-1331852
5111,A-1331852 + BKM120
2579,A-1331852 + Docetaxel
5109,A-1331852 + Ipatasertib
5889,A-395
2448,A-443654
5437,A-674563
5945,A-770041
5947,A-770041 + PRT062607
5948,A-770041 + R406
2945,A-966492
5136,A-dmDT390-bisFv(UCHT1)
5137,A-dmDT390-bisFv(UCHT1) + Pembrolizumab
3495,A3
617,A66
3707,A66 + AZD6482
3708,A66 + GSK2636771
2757,A83-01
4317,AB-16B5
4677,AB0023
4099,AB61
2892,Abagovomab
618,Abarelix
4028,ABBV-075
5924,ABBV-075 + Azacitidine
5925,ABBV-075 + Bortezomib
5923,ABBV-075 + Venetoclax
3846,ABBV-085
5766,ABBV-181
2914,ABBV-221
5446,ABBV-368
5447,ABBV-368 + Nivolumab
1363,ABBV-399
1366,ABBV-399 + Bevacizumab
1743,ABBV-399 + Carboplatin
1365,ABBV-399 + Cetuximab
1364,ABBV-399 + Erlotinib
5050,ABBV-428
5051,ABBV-428 + Nivolumab
5756,ABBV-621
5142,ABBV-927
5143,ABBV-927 + Nivolumab
3301,ABC294640
5617,ABC294640 + Gemcitabine
802,Abemaciclib
2255,Abemaciclib + Anastrozole
1854,Abemaciclib + Anastrozole + Letrozole
5516,Abemaciclib + Anastrozole + Xentuzumab
1690,Abemaciclib + Clarithromycin
4127,Abemaciclib + Everolimus
2257,Abemaciclib + Exemestane
5859,Abemaciclib + Fulvestrant
5517,Abemaciclib + Fulvestrant + Xentuzumab
5176,Abemaciclib + Galunisertib
4731,Abemaciclib + Lapatinib
2254,Abemaciclib + Letrozole
5515,Abemaciclib + Letrozole + Xentuzumab
4387,Abemaciclib + Loperamide
5175,Abemaciclib + LY3023414
4373,Abemaciclib + LY3039478
4242,Abemaciclib + Pembrolizumab
4209,Abemaciclib + Ramucirumab
2256,Abemaciclib + Tamoxifen
5028,Abemaciclib + Temozolomide
4128,Abemaciclib + Torin2
2259,Abemaciclib + Trastuzumab
5514,Abemaciclib + Xentuzumab
1081,Abexinostat
3381,Abexinostat + Doxorubicin
1805,Abiraterone
2553,Abiraterone + Alisertib + Prednisone
4510,Abiraterone + ARN-509 + Degarelix + Indomethacin + Prednisone
5523,Abiraterone + ARN-509 + Degarelix + Prednisone
4767,Abiraterone + ARN-509 + Docetaxel + Prednisone
5743,Abiraterone + ARN-509 + Gonadorelin + Prednisone
4509,Abiraterone + ARN-509 + Indomethacin + Prednisone
4206,Abiraterone + ARN-509 + Leuprolide
4758,Abiraterone + ARN-509 + Leuprolide + Prednisone
2649,Abiraterone + ARN-509 + Prednisone
2499,Abiraterone + BKM120 + Prednisone
4759,Abiraterone + Cabazitaxel + Carboplatin + Enzalutamide + Prednisone
4770,Abiraterone + cabozantinib
1818,Abiraterone + Dasatinib	
4182,Abiraterone + Denosumab + Enzalutamide + Prednisone
5340,Abiraterone + Dutasteride
6034,Abiraterone + GSK525762
5438,Abiraterone + Ipatasertib
3079,Abiraterone + Leuprolide + Prednisone
4678,Abiraterone + Methylprednisolone
2597,Abiraterone + Navitoclax
4377,Abiraterone + Niclosamide + Prednisone
2748,Abiraterone + Prednisone
5226,Abiraterone + Prednisone + Olaparib
5913,Abiraterone + Prednisone + Veliparib
1817,Abiraterone + Sunitinib
2484,ABL001
6243,ABP 980
619,Abraxane
1144,Abraxane + Avastin + Gemcitabine
1950,Abraxane + Azacitidine
1496,Abraxane + Bevacizumab + Erlotinib
1957,Abraxane + Carboplatin + Cetuximab
1859,Abraxane + Cisplatin + Carboplatin
1956,Abraxane + Cisplatin + Cetuximab
2204,Abraxane + Gemcitabine + Metformin
2429,Abraxane + Gemcitabine + Sorafenib + Vorinostat
2490,Abraxane + Nilotinib
2489,Abraxane + Nivolumab
2039,Abraxane + Ramucirumab
1380,Abraxane + Temozolomide + Bevacizumab
5319,ABT-263 + Alpelisib + CGM097 + Trametinib
5318,ABT-263 + Alpelisib + Dabrafenib + Erlotinib
5316,ABT-263 + Alpelisib + Erlotinib + Trametinib
5317,ABT-263 + CGM097 + Dabrafenib + PF-04217903
5315,ABT-263 + CGM097 + Trametinib
975,ABT-348
976,ABT-414
4346,ABT-414 + Temozolomide + Radiotherapy
1063,ABT-700
1772,ABT-737
3586,ABT-737 + Anti-CD19 CAR T cells
5191,ABT-737 + AZD8055 + Trametinib
5381,ABT-737 + BEZ235
5192,ABT-737 + BEZ235 + Trametinib
3919,ABT-737 + Cisplatin
3918,ABT-737 + Doxorubicin
3920,ABT-737 + Gemcitabine
5193,ABT-737 + MK2206 + Trametinib
5388,ABT-737 + MLN0128
5187,ABT-737 + Perifosine
4151,ABT-751
4152,ABT-751 + Bevacizumab + Capecitabine + Irinotecan
4909,ABT-751 + Fenretinide
4133,ABT-767
4256,ABT-806
2151,ABTL0812
2909,AC0010MA
977,AC480
2845,AC708
1605,Acalabrutinib
5466,Acalabrutinib + ACP-319
3996,Acalabrutinib + Bendamustine + Rituximab
3477,Acalabrutinib + Obinutuzumab
6188,Acalabrutinib + Vistusertib
3939,Acetaminophen + Dexamethasone + Diphenhydramine + Ondansetron
3265,ACP-319
1613,ACY-1215
5251,ACY-1215 + Bortezomib + Dexamethasone
4526,ACY-1215 + Cisplatin + Gemcitabine
4907,ACY-1215 + Dexamethasone + lenalidomide
4272,ACY-1215 + Ibrutinib
4273,ACY-1215 + Idelalisib 
3313,ACY-1215 + nab-paclitaxel
3469,ACY-1215 + Paclitaxel
1614,ACY-1215 + Pomalidomide + Dexamethasone
3312,ACY-241 + Ipilimumab + Nivolumab
5327,ACY-241 + Paclitaxel
4144,ACY-957
4187,ACY-957 + Doxorubicin
4147,ACY-957 + DZNeP
4148,ACY-957 + GSK126
5336,Ad-CEA + Bevacizumab + FOLFOX
5335,Ad-CEA vaccine
5083,Ad-MAGEA3
4250,Ad-RTS-IL-12 plus AL
978,Ad.p53-DC vaccine
6283,Ad5-yCD/mutTKSR39rep-hIL12 
979,Ad5CMV-p53 gene
5879,Ad5CMV-p53 gene + Capecitabine
5854,Ad5CMV-p53 gene + unspecified PD-1 antibody
5915,AD80
5689,ADCT-502
4812,ADDA 5
4916,ADH-1
4952,ADH-1 + Cisplatin + Gemcitabine
2424,ADI-PEG 20
4461,AdV-tk
4462,AdV-tk + Nivolumab
5172,AdV-tk + Valacyclovir
3090,ADXS11-001
3050,ADXS31-142 
4654,ADXS31-164
621,AEB071
1861,AEB071 + BYL719
5587,AEB071 + CGM097
1951,AEB071 + Everolimus
2275,AEB071 + PD-0325901
622,AEE788
3303,AEZS-131
623,Afatinib
4873,Afatinib + Alectinib
6313,Afatinib + Capmatinib
2442,Afatinib + Carboplatin + Paclitaxel
4190,Afatinib + Cetuximab
4764,Afatinib + Cetuximab + Sirolimus
3378,Afatinib + Crizotinib
2801,Afatinib + Ganetespib
1374,Afatinib + Loperamide
5363,Afatinib + Necitumumab
4040,Afatinib + Nimotuzumab
2441,Afatinib + Paclitaxel
2435,Afatinib + Pembrolizumab
4711,Afatinib + Radiotherapy
4482,Afatinib + Trametinib
1106,Afatinib + Trastuzumab
5254,Afatinib + Vinorelbine
5132,Afimoxifene
5158,Afimoxifene + XMU-MP-2
624,Aflibercept
2368,Aflibercept + Capecitabine
5246,Aflibercept + Docetaxel
2095,Aflibercept + FOLFIRI
1841,Aflibercept + Leucovorin + Fluorouracil
2367,Aflibercept + mFOLFOX-6
1595,Aflibercept + MLN0128
2369,Aflibercept + Pembrolizumab
4389,AFM13
4390,AFM13 + Pembrolizumab
5856,AFM24
625,Afuresertib
1839,Afuresertib + Carfilzomib
3204,Afuresertib + Trametinib
1491,AG-120
4002,AG-120 + Azacitidine
2943,AG-14361
2995,AG-881
2570,AG1295
2139,AG1296
5695,AGEN1884
5693,AGEN2034
2569,AGI-5198
5326,AGI-5198 + Olaparib
3895,AGI-5198 + Radiotherapy
5325,AGI-5198 + Talazoparib
1585,AGI-6780
2571,AGL2043
4075,AGS-003
4076,AGS-003 + Sunitinib
4220,AGS-16C3F
4697,AGS-1C4D4 
4699,AGS-PSCA
2859,AI-10-49
6020,AIC-47
6021,AIC-47 + Imatinib
3801,AIM-100
2338,AJI-100
2337,AJI-214
5753,AK-01
4073,AKI603
4074,AKI603 + Epirubicin
5572,AKI603 + Imatinib
3170,AKN-028
980,AL-3818
1392,Alclometasone
1167,Aldesleukin
2098,Aldesleukin + Bevacizumab
3409,Aldesleukin + Cyclophosphamide + Fludarabine 
5683,Aldesleukin + Cyclophosphamide + Fludarabine + Mesna + Pembrolizumab
