,chromosome,createDate,entrezId,geneDescriptions,geneSymbol,id,mapLocation,synonyms,terms,updateDate
0,9,05/26/2013,25,"[{'description': 'ABL1, ABL proto-oncogene 1, non-receptor tyrosine kinase, is a non-receptor tyrosine kinase, which plays a role in regulation of cell growth through ERK5, Rac/JNK, and Stat1/3 pathways (PMID: 10373409). Fusion proteins of BCR-ABL1 result in constitutive kinase activity and have been reported in various cancers (PMID: 18851712).', 'references': [{'id': 9801, 'pubMedId': 10373409, 'title': 'Signaling pathways activated by oncogenic forms of Abl tyrosine kinase.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/10373409'}, {'id': 120, 'pubMedId': 18851712, 'title': 'Cytoplasmic signalling by the c-Abl tyrosine kinase in normal and cancer cells.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/18851712'}]}]",ABL1,25,9q34.12,"['ABL', 'bcr/abl', 'c-ABL', 'c-ABL1', 'CHDSKM', 'JTK7', 'p150', 'v-abl']","['ABL1', 'ABL', 'bcr/abl', 'c-ABL', 'c-ABL1', 'CHDSKM', 'JTK7', 'p150', 'v-abl']",08/28/2017
0,14,05/26/2013,207,"[{'description': 'AKT1 is a serine-threonine protein kinase, which regulates cell proliferation and survival through PI3K signaling (PMID: 23297823). AKT1 is frequently hyperactivated in cancer (PMID: 23134728).', 'references': [{'id': 9003, 'pubMedId': 23297823, 'title': 'Diverse mechanisms of AKT pathway activation in human malignancy.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/23297823'}, {'id': 103, 'pubMedId': 23134728, 'title': 'Disruption of PH-kinase domain interactions leads to oncogenic activation of AKT in human cancers.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/23134728'}]}]",AKT1,207,14q32.33,"['AKT', 'CWS6', 'PKB', 'PKB-ALPHA', 'PRKBA', 'RAC', 'RAC-ALPHA']","['AKT1', 'AKT', 'CWS6', 'PKB', 'PKB-ALPHA', 'PRKBA', 'RAC', 'RAC-ALPHA']",07/24/2017
0,2,05/29/2013,238,"[{'description': 'ALK, anaplastic lymphoma receptor tyrosine kinase, is a receptor in the insulin receptor superfamily and is a key regulator of neuronal development (PMID: 21502284). ALK activating mutations and fusions have been commonly identified in various cancers (PMID: 22649787).', 'references': [{'id': 105, 'pubMedId': 21502284, 'title': 'Anaplastic lymphoma kinase in human cancer.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/21502284'}, {'id': 107, 'pubMedId': 22649787, 'title': 'ALK Signaling and Target Therapy in Anaplastic Large Cell Lymphoma.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/22649787'}]}]",ALK,238,2p23.2-p23.1,"['CD246', 'NBLST3']","['ALK', 'CD246', 'NBLST3']",07/24/2017
0,5,05/25/2013,324,"[{'description': 'APC, adenomatous polyposis coli, is a multi-domain protein regulating numerous cellular functions through interaction with beta-catenin and subsequent inhibition of Wnt signalling (PMID: 21502284). APC germline mutations are associated with familial adenomatous polyposis and somatic mutations with colon, endometrial, NSCLC, and breast cancers (PMID: 27283171).', 'references': [{'id': 6299, 'pubMedId': 27283171, 'title': 'The Relevance of Hereditary Cancer Risks to Precision Oncology: What Should Providers Consider When Conducting Tumor Genomic Profiling?', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/27283171'}, {'id': 105, 'pubMedId': 21502284, 'title': 'Anaplastic lymphoma kinase in human cancer.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/21502284'}]}]",APC,324,5q22.2,"['BTPS2', 'DP2', 'DP2.5', 'DP3', 'GS', 'PPP1R46']","['APC', 'BTPS2', 'DP2', 'DP2.5', 'DP3', 'GS', 'PPP1R46']",07/24/2017
0,20,05/22/2013,171023,"[{'description': 'ASXL1, additional sex combs like 1, is involved in epigenetic regulation of gene expression and forms complexes with several proteins to regulate transcription (PMID: 23736028). Mutations in ASXL1 have been associated with a number of different cancers including cervical, colon, CLL, and squamous cell carcinoma (PMID: 23736028).', 'references': [{'id': 207, 'pubMedId': 23736028, 'title': 'Functional and cancer genomics of ASXL family members.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/23736028'}]}]",ASXL1,171023,20q11.21,"['BOPS', 'MDS']","['ASXL1', 'BOPS', 'MDS']",07/24/2017
0,11,05/26/2013,472,"[{'description': 'ATM, ataxia-telangiectasia mutated protein kinase, is a member of the serine-threonine kinase family and coordinates cellular responses to DNA damage through activation of distinct DNA repair and signaling pathways (PMID: 22079189). ATM somatic mutations are associated with endometrial, colon, pancreatic, and breast cancers (PMID: 27283171).', 'references': [{'id': 6299, 'pubMedId': 27283171, 'title': 'The Relevance of Hereditary Cancer Risks to Precision Oncology: What Should Providers Consider When Conducting Tumor Genomic Profiling?', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/27283171'}, {'id': 106, 'pubMedId': 22079189, 'title': 'The ATM protein kinase and cellular redox signaling: beyond the DNA damage response.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/22079189'}]}]",ATM,472,11q22.3,"['AT1', 'ATA', 'ATC', 'ATD', 'ATDC', 'ATE', 'TEL1', 'TELO1']","['ATM', 'AT1', 'ATA', 'ATC', 'ATD', 'ATDC', 'ATE', 'TEL1', 'TELO1']",07/24/2017
0,X,05/22/2013,546,"[{'description': 'ATRX, transcriptional regulator ATRX, is in the SWI/SNF family of chromatin remodeling proteins and plays a role in DNA repair and telomere length. ATRX loss has been identified in a high percentage of tumor types including glioma (PMID: 23249563; PMID: 26936505).', 'references': [{'id': 112, 'pubMedId': 23249563, 'title': 'ATRX: the case of a peculiar chromatin remodeler.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/23249563'}, {'id': 5444, 'pubMedId': 26936505, 'title': 'ATRX loss promotes tumor growth and impairs nonhomologous end joining DNA repair in glioma.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/26936505'}]}]",ATRX,546,Xq21.1,"['JMS', 'MRX52', 'RAD54', 'RAD54L', 'XH2', 'XNP', 'ZNF-HX']","['ATRX', 'JMS', 'MRX52', 'RAD54', 'RAD54L', 'XH2', 'XNP', 'ZNF-HX']",07/24/2017
0,X,05/22/2013,54880,"[{'description': 'BCOR, BCL6 corepressor, functions with B-cell CLL/lymphoma 6 (BCL6) as a transcriptional silencer (PMID: 10898795, PMID: 16943429) and also suppresses MLLT3 (AF9) transcriptional activity (PMID: 12776190). BCOR mutations are associated with poorer outcome in patients with acute myeloid leukemia with a normal karyotype (PMID: 22012066).', 'references': [{'id': 1122, 'pubMedId': 16943429, 'title': 'Polycomb group and SCF ubiquitin ligases are found in a novel BCOR complex that is recruited to BCL6 targets.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/16943429'}, {'id': 1154, 'pubMedId': 22012066, 'title': 'Whole-exome sequencing identifies somatic mutations of BCOR in acute myeloid leukemia with normal karyotype.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/22012066'}, {'id': 1120, 'pubMedId': 10898795, 'title': 'BCoR, a novel corepressor involved in BCL-6 repression.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/10898795'}, {'id': 1121, 'pubMedId': 12776190, 'title': 'The mixed lineage leukemia fusion partner AF9 binds specific isoforms of the BCL-6 corepressor.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/12776190'}]}]",BCOR,54880,Xp11.4,"['ANOP2', 'MAA2', 'MCOPS2']","['BCOR', 'ANOP2', 'MAA2', 'MCOPS2']",07/24/2017
0,X,05/05/2013,63035,"[{'description': 'BCORL1, BCL6 corepressor-like 1, is a transcription corepressor and is involved in histone deacetylase activity (PMID: 17379597). BCORL1 mutations have been observed in acute myeloid leukemia while elevated expression of BCORL1 has been identified in hepatocellular carcinoma (PMID: 22210327, PMID: 26879601). ', 'references': [{'id': 5454, 'pubMedId': 17379597, 'title': 'A novel corepressor, BCoR-L1, represses transcription through an interaction with CtBP.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/17379597'}, {'id': 5455, 'pubMedId': 22210327, 'title': 'The corepressors BCOR and BCORL1: two novel players in acute myeloid leukemia.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/22210327'}, {'id': 5456, 'pubMedId': 26879601, 'title': 'BCORL1 is an independent prognostic marker and contributes to cell migration and invasion in human hepatocellular carcinoma.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/26879601'}]}]",BCORL1,63035,Xq26.1,"['BCoR-L1', 'CXorf10']","['BCORL1', 'BCoR-L1', 'CXorf10']",09/12/2017
0,7,05/26/2013,673,"[{'description': 'BRAF, v-Raf murine sarcoma viral oncogene homolog B, is a member of the Raf family of serine/threonine protein kinases, which plays a role in cell proliferation and growth (PMID: 24737949). BRAF mutations are commonly found in melanoma (PMID: 24737949).', 'references': [{'id': 131, 'pubMedId': 24737949, 'title': 'BRAF and beyond: Tailoring strategies for the individual melanoma patient.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/24737949'}]}]",BRAF,673,7q34,"['B-raf', 'B-RAF1', 'BRAF1', 'NS7', 'RAFB1']","['BRAF', 'B-raf', 'B-RAF1', 'BRAF1', 'NS7', 'RAFB1']",08/17/2017
